POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF 450,24 Laps,0:52.623,Honda HRC
2,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,2.589,0:52.490,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,21.680,0:52.882,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,28.977,0:53.485,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
5,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,40.918,0:53.561,Honda HRC
6,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,43.672,0:53.516,MONSTER ENERGY KAWASAKI
7,32,Weston Peick,"Menifee, CA",Suzuki RM-Z450,43.976,0:54.242,Autotrader/JGR/Suzuki/Bad Boy Offroad/Wienershnitzel/Monster/KMC wheels/Toyota/Fly Racing/Scott
8,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,48.583,0:54.331,Rocky Mountain ATV/MC - KTM - WPS
9,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,55.687,0:54.206,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
10,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,23 Laps,0:54.456,RCH Suzuki Factory Racing
11,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,4.019,0:54.626,MONSTER ENERGY KAWASAKI
12,15,Dean Wilson,"Clermont, FL",Yamaha YZ450F,7.513,0:54.781, 
13,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,18.508,0:55.367,RCH Suzuki Factory Racing
14,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,19.328,0:55.099,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
15,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,32.381,0:55.604,Smartop Motoconcepts Honda
16,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,39.536,0:55.249,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
17,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,22 Laps,0:55.660,Smartop/MotoConcepts/Honda
18,85,Thomas Hahn,"Decatur, TX",Yamaha YZ450F,19.236,0:55.807,CycleTrader Rock River YAMAHA GPI RoostMX
19,40,Fredrik Noren,"West Farmington, OH",Honda CRF 250,25.547,0:56.083,"Honda, TiLUBE, O'Neal, SIDI"
20,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,21 Laps,0:53.799,Rocky Mountain ATV/MC - KTM - WPS
21,80,Cade Clason,"Chesterfield, SC",Honda CRF 450,20 Laps,0:58.309,"K1 Speed/SSI Decals/ BWR Engines, Race Tech, FXR, Yoshamira, Pro Taper, Mobius"
22,314,Alex Ray,"Milan, TN",Husqvarna FC450,14 Laps,0:58.534,FXR/ TXS/ K 1 SPEED/ NOLEEN J6/ PRL/ ARAI/SIDI/ REKLUSE/ 2XU/ SSI/ XBRAND/ SPIDER ENERGY DRINK/ GRAHAM KTM/ VERTEX/ DEDICATED RIDE/ NO TOIL/ VERTEX/ DIRT TRICKS/ MOTO SEATS/ EVANS/ WC/ SPEETRO OILS/ KILLER CUSTOM/ BOLT/ BILLS PIPE/ MOBUS BRACES/ STREAM 
