POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,27 Laps,0:44.470,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
2,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,29.439,0:45.607,Rockstar Energy Husqvarna Factory Racing
3,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,31.403,0:45.561,Smartop/Bullfrog Spas/Honda
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,35.809,0:46.029,Rockstar Energy Husqvarna Factory Racing
5,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,38.134,0:45.475,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
6,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,45.746,0:45.979,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
7,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,26 Laps,0:46.197,Monster Energy Factory Yamaha Racing
8,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,7.729,0:46.687,Rocky Mountain ATV/MC - KTM - WPS
9,22,Chad Reed,"Dade City, FL",Husqvarna FC450,13.468,0:47.041,CR22
10,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,17.588,0:45.461,Rocky Mountain ATV/MC - KTM - WPS
11,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,21.985,0:46.249,MONSTER ENERGY KAWASAKI
12,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,24.667,0:46.767,HEP MOTORSPORTS/FXR/Suzuki/AMP Tires
13,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,29.404,0:47.386,Smartop BullFrog
14,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,34.635,0:47.037, 
15,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,35.458,0:44.464,MONSTER ENERGY KAWASAKI
16,32,Christian Craig,"Orange, CA",Honda CRF 450,39.308,0:46.455,Team Honda HRC
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,25 Laps,0:48.900,"TPJ/Fly Racing,LBeardsleyCPA,RTS inc,Eks Brand,Racetech,Bills Pipes,Evs sports, Rockwell watches,Hammerhead designs,Gaerne,Renthal, Stratus, Dvs shoes,"
18,86,Dylan Merriam,"Corona, CA",Yamaha YZ450F,14.007,0:49.567,"TPJ, Fly Racing, Braap Shop Yamaha, Alpinestars, Dedicated Ride Co., Pirelli, DSC Construction, Von Zipper, Pro Circuit, ODI"
19,570,Cody Vanbuskirk,"Harvard, IL",KTM 450 SX-F,23.571,0:48.810,Woodstock KTM/TZR
20,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,24 Laps,0:49.051,"BWR|RaceTech|Mx Athletics|SSI Decal|L-TECH | Bills Pipes, Mika Metals, DTI Filters, Dirt Tricks, Ride Engineering, Villa Racing"
21,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,35.006,0:49.447,"Rocky Mountain ATV MC, Honda, Cal coast plumbing, Viking bait, Skvi, RB company, SLO Painting, Fly Racing, Pro Circuit, Rekluse, Works Connection, Renthal, No Toil, Strength Happens, Scott USA, Galfer, Dunlop, Dubya, Acerbis, Scot , Taylor Selby, WPS, Jim"
22,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,14 Laps,0:45.520,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
