POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,23 Laps,0:54.318,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,25.557,0:54.171,MONSTER ENERGY KAWASAKI
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,32.480,0:54.511,Rockstar Energy Husqvarna Factory Racing
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,37.507,0:55.454,Rocky Mountain ATV/MC - KTM - WPS
5,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,42.959,0:56.044,Rockstar Energy Husqvarna Factory Racing
6,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,52.255,0:55.773,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
7,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,55.338,0:56.184,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
8,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,22 Laps,0:56.269,Smartop/Bullfrog Spas/Honda
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,1.573,0:56.123,Monster Energy Factory Yamaha Racing
10,22,Chad Reed,"Dade City, FL",Husqvarna FC450,3.693,0:57.046,CR22
11,32,Christian Craig,"Orange, CA",Honda CRF 450,12.476,0:56.597,Team Honda HRC
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,19.062,0:55.886,Smartop Bullfrog Spas
13,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,45.530,0:56.429,MONSTER ENERGY KAWASAKI
14,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,49.338,0:57.985,Rocky Mountain ATV/MC - KTM - WPS
15,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,53.139,0:58.269,-- none listed --
16,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,21 Laps,0:58.571,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
17,73,Brandon Scharer,"Gardena, CA",Yamaha YZ450F,22.520,0:59.171,3D Racing/EBR Performance/Altus Motorsports/Yamaha
18,91,Alex Ray,"Milan, TN",Yamaha YZ450F,20 Laps,0:59.461,CycleTrader Rock River YAMAHA
19,447,Deven Raper,"Mesa, AZ",Kawasaki KX 450F,44.894,1:00.583,"RJC Racing, Kellys Kawasaki"
20,80,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,19 Laps,1:01.113,MotoTape/Federal Hill Home Theaters/Richards Corporation
21,181,Dustin Pipes,"Fresno, CA",Suzuki RM-Z450,18 Laps,1:03.417,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
22,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,15 Laps,0:57.077,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
