POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,26 Laps,0:48.402,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,6.067,0:48.631,MONSTER ENERGY KAWASAKI
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,10.970,0:48.872,Rocky Mountain ATV/MC - KTM - WPS
4,32,Christian Craig,"Orange, CA",Honda CRF 450,16.898,0:49.232,Team Honda HRC
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,21.098,0:49.122,Monster Energy Factory Yamaha Racing
6,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,25.464,0:49.109,Smartop/Bullfrog Spas/Honda
7,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,33.597,0:49.774,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
8,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,25 Laps,0:49.924,Rocky Mountain ATV/MC - KTM - WPS
9,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,3.471,0:50.349,Smartop Bullfrog Spas
10,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,13.951,0:50.819,MONSTER ENERGY KAWASAKI
11,22,Chad Reed,"Dade City, FL",Husqvarna FC450,36.691,0:50.740,CR22
12,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,40.857,0:51.207,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
13,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,1:01.853,0:50.414,Rockstar Energy Husqvarna Factory Racing
14,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,24 Laps,0:49.424,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
15,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,0.848,0:51.771,-- none listed --
16,751,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,37.890,0:52.337,Monster Energy-Yamaha Factory Racing
17,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,38.363,0:49.071,Rockstar Energy Husqvarna Factory Racing
18,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,23 Laps,0:52.544,UofMx TXS California Coast Plumbers HRT TMI Corp Tagger Designs Tokyo Mods Burk Mechanical
19,570,Cody Vanbuskirk,"Harvard, IL",KTM 450 SX-F,9.054,0:53.354,Woodstock KTM/TZR
20,84,Scott Champion,"Orange, CA",Yamaha YZ450F,22 Laps,0:53.888,PARTZILLA.com
21,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,14.680,0:54.739,Team Tedder/Monster Energy/KTM/Lucas Oil
22,91,Alex Ray,"Milan, TN",Yamaha YZ450F,DNF,,CycleTrader Rock River YAMAHA
