POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,21 Laps,1:00.271,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,4.009,1:00.696,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,28.722,1:01.062,Rocky Mountain ATV/MC - KTM - WPS
4,32,Christian Craig,"Orange, CA",Honda CRF 450,36.711,1:01.633,Team Honda HRC
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,39.768,1:01.573,Rockstar Energy Husqvarna Factory Racing
6,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,41.560,1:02.522,Rocky Mountain ATV/MC - KTM - WPS
7,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,44.408,1:02.027,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,47.305,1:02.497,Rockstar Energy Husqvarna Factory Racing
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,52.935,1:02.770,Monster Energy Factory Yamaha Racing
10,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,56.179,1:02.386,Smartop Bullfrog Spas
11,22,Chad Reed,"Dade City, FL",Husqvarna FC450,1:04.095,1:03.240,CR22
12,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,1:05.459,1:03.367,Smartop/Bullfrog Spas/Honda
13,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,20 Laps,1:03.441,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
14,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,15.973,1:03.645, 
15,91,Alex Ray,"Milan, TN",Yamaha YZ450F,40.139,1:04.629,CycleTrader Rock River YAMAHA
16,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,49.280,1:05.430,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
17,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,19 Laps,1:05.067,Team Tedder/Monster Energy/KTM/Lucas Oil
18,330,Cade Autenrieth,"Hemet, CA",KTM 450 SX-F Factory Edit,16.476,1:05.234,"Answer, Arai, Scott, Factory Connection"
19,751,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,46.589,1:06.155,Monster Energy-Yamaha Factory Racing
20,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,18 Laps,1:02.017,MONSTER ENERGY KAWASAKI
21,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,8 Laps,1:04.665,UofMx TXS California Coast Plumbers HRT TMI Corp Tagger Designs Tokyo Mods Burk Mechanical
22,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,7 Laps,1:03.198,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
