POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,25 Laps,0:49.250,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,5.695,0:49.943,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,9.798,0:49.904,Rocky Mountain ATV/MC - KTM - WPS
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,14.457,0:49.419,Rockstar Energy Husqvarna Factory Racing
5,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,16.469,0:50.406,Team Honda HRC
6,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,16.834,0:50.458,Monster Enery/Knich/Factory Yamaha Team
7,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,29.367,0:50.685,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,39.857,0:51.091,Rockstar Energy Husqvarna Factory Racing
9,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,51.500,0:50.942,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,24 Laps,0:51.094,Smartop/Bullfrog Spas/Honda
11,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,1.936,0:50.996,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,3.120,0:50.843,Smartop BullFrog Spas
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,8.406,0:51.361,51FIFTY Energy Drink Yamaha
14,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,11.183,0:51.360,Rocky Mountain ATV/MC - KTM -WPS
15,22,Chad Reed,"Dade City, FL",Husqvarna FC450,15.291,0:52.256,CR22
16,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,32.236,0:52.074,Triggr/Rutted/AHM Factory Services/Tyler Bowers Racing/Kawasaki
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,37.743,0:52.380,"TPJ/Fly Racing, LBeardsleyCPA, RTS inc, UofMX, Eks Brand, Stratus, Racetech, Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Dvs shoes."
18,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,56.932,0:52.567,-- none listed --
19,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,23 Laps,0:51.697,H.E.P. Motorsports/FXR/Suzuki
20,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,11.482,0:52.392,U Of MX/TXS Productions/HRT Racing/California Coast Plumbers/Tagger Designs/Rekluse/Gamache Landscaping
21,80,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,32.843,0:53.646,Team MotoTape/Federal Hill Home Theaters
22,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,14 Laps,0:52.927,H.E.P. Motorsports/FXR/Suzuki
