POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,26 Laps,0:48.757,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,4.536,0:48.752,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,12.065,0:48.903,Rockstar Energy Husqvarna Factory Racing
4,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,17.845,0:49.384,Monster Energy Factory Yamaha Racing
5,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,21.854,0:49.800,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
6,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,26.994,0:48.456,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
7,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,32.017,0:49.625,Rockstar Energy Husqvarna Factory Racing
8,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,34.204,0:49.848,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,46.877,0:49.706,Rocky Mountain ATV/MC - KTM - WPS
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,25 Laps,0:49.927,Smartop/Bullfrog Spas/Honda
11,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,14.088,0:50.273,Smartop BullFrog Spas
12,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,22.661,0:49.648,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,24.108,0:50.541,51FIFTY Energy Drink Yamaha
14,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,41.656,0:50.533,MONSTER ENERGY KAWASAKI
15,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,57.945,0:51.478,AJE MOTORSPORTS / SKASE' MX HUSQVARNA
16,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,24 Laps,0:51.303,H.E.P. Motorsports/FXR/Suzuki
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,21.244,0:51.992,"TPJ/Fly Racing, LBeardsleyCPA, RTS inc, UofMX, Eks Brand, Stratus, Racetech, Evs sports, Rockwell watches,Hammerhead designs,Gaerne, Lords of Gastown, Renthal, Dvs shoes."
18,68,Justin Starling,"Deland, FL",Husqvarna FC250,30.163,0:52.103,AJE Motorsports/Skase MX/Alias MX/Husqvarna
19,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,34.012,0:52.740,"LVN 100, NUT UP, SUZUKI"
20,73,Brandon Scharer,"Gardena, CA",Yamaha YZ450F,42.405,0:53.293,3D Racing/EBR Performance/Altus Motorsports/Yamaha
21,22,Chad Reed,"Dade City, FL",Husqvarna FC450,17 Laps,0:50.579,CR22
22,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,DNF,,Rocky Mountain ATV/MC - KTM -WPS
