POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,18 Laps,1:09.445,MONSTER ENERGY KAWASAKI
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,6.889,1:10.791,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,12.291,1:10.527,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,14.825,1:11.117,Rocky Mountain ATV/MC - KTM - WPS
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,28.804,1:11.042,MONSTER ENERGY KAWASAKI
6,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,30.702,1:11.453,Rockstar Energy Husqvarna Factory Racing
7,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,35.560,1:10.804,Jgrmx/Yoshimura/Suzuki Factory Racing
8,94,Ken Roczen,"Clermont, FL",Honda CRF 450,38.371,1:10.707,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
9,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,40.004,1:12.002,Smartop Bullfrog Spas Honda
10,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,42.246,1:12.238,Jgrmx/Yoshimura/Factory Suzuki Racing
11,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,55.261,1:12.252,Rockstar Energy Husqvarna Factory Racing
12,12,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,59.061,1:12.068,Troy Lee Designs/ Red Bull/ KTM
13,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,1:17.107,1:12.694,Team Honda HRC
14,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,17 Laps,1:13.163,Rocky Mountain ATV/MC - KTM - WPS
15,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,3.009,1:13.706,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
16,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,6.122,1:13.379,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
17,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,34.379,1:15.219,RJC Racing/AEO Powersports
18,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,51.626,1:15.484,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
19,60,Justin Starling,"Deland, FL",Husqvarna FC450,56.989,1:16.147,The Motoshop/AJE Motorsports/Husqvarna
20,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,1:00.738,1:14.061,SMARTOP BULLFROG SPAS HONDA GDR FOX
21,184,Scott Champion,"Orange, CA",Yamaha YZ450F,16 Laps,1:15.092,Partzilla/Texplex/Lonestar yamaha/Law tigers
22,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,5 Laps,1:11.094,MONSTER ENERGY-YAMAHA FACTORY RACING
