POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,28 Laps,0:43.174,MONSTER ENERGY KAWASAKI
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,7.774,0:43.785,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,13.171,0:44.024,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
4,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,21.021,0:44.589,Rocky Mountain ATV/MC - KTM - WPS
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,22.661,0:44.193,MONSTER ENERGY KAWASAKI
6,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,24.914,0:44.134,Rocky Mountain ATV/MC - KTM- WPS
7,94,Ken Roczen,"Clermont, FL",Honda CRF 450,27.503,0:44.264,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
8,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,36.145,0:44.385,Rockstar Energy Husqvarna Factory Racing
9,33,Joshua Grant,"Wildomar, CA",Yamaha YZ450F,39.160,0:45.098,MONSTER ENERGY-YAMAHA FACTORY RACING
10,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,40.276,0:44.678,Jgrmx/Yoshimura/Suzuki Factory Racing
11,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,27 Laps,0:45.193,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
12,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,4.703,0:45.358,Smartop Bullfrog Spas Honda
13,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,13.371,0:45.472,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
14,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,21.434,0:45.869,Cycle Trader Rock River YAMAHA
15,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,26 Laps,0:45.808,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
16,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,4.710,0:46.289,BWR I L-Tec I SSI Decals
17,63,John Short,"Pilot Point, TX",Honda CRF 250,10.745,0:46.075,TPJ
18,224,Charles Lefrancois,"Folligny, France",Suzuki RM-Z450,46.461,0:47.004,TEAM SR75/Suzuki/Shift/Shoei/Scott/FMF/Mika/Motul/Pirelli/Hinson
19,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,25 Laps,0:44.770,Team Honda HRC
20,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,8 Laps,0:44.748,Rockstar Energy Husqvarna Factory Racing
21,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,5 Laps,0:46.531,TPJ Fly Racing/HRT/DSC Construction/California Coast Plumbers/Carls Cycles/Gamache Landscaping/Karcher/Lucas Oil/Pirelli/Rekluse/Engine Ice/Acerbis/Magik Graphics/Galfer/Torc 1 Racing
22,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,DNS,,Smartop Bullfrog Spas Honda GDR Fox
