POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,18 Laps,1:01.745,Rocky Mountain ATV/MC - KTM -WPS
2,1,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,5.847,1:01.943,Rockstar Energy Husqvarna Factory Racing
3,94,Ken Roczen,"Clermont, FL",Honda CRF 450,8.148,1:01.954,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,10.650,1:02.417,MONSTER ENERGY KAWASAKI
5,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,12.034,1:02.581,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
6,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,12.844,1:02.864,MONSTER ENERGY-YAMAHA FACTORY RACING
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,14.650,1:03.049,Smartop Bullfrog Spas Honda
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,16.992,1:02.776,Rockstar Energy Husqvarna/Oneal/Artificial Grass Liquidators/Toyota Escondido
9,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,21.168,1:02.542,Team Honda HRC
10,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,23.442,1:02.895,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
11,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,24.690,1:03.432,MONSTER ENERGY-YAMAHA FACTORY RACING
12,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,29.977,1:03.391,Smartop Bullfrog Spas Honda
13,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,30.666,1:03.090,Jgrmx/Yoshimura/Suzuki Factory Racing
14,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,34.443,1:03.523,Jgrmx/Yoshimura/Factory Suzuki Racing
15,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,56.357,1:04.686,Rocky Mountain ATV/MC - KTM -WPS
16,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,1:03.895,1:05.355,H.E.P. Motorsports Suzuki/Thor/Parts Unlimited/Mayhem Wheels/Redline Oil
17,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,17 Laps,1:05.740,H.E.P Motorsports Suzuki/Thor/Parts Unlimited/Mayhem Wheels/Redline Oil
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,10.457,1:06.355,BWR I L-Tec I SSI Decals
19,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,20.061,1:05.714,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
20,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,46.425,1:06.765,Liberty Elevator Corp./ISC Racers Tape/50 Yardline Sports Bar/FXR Racing/Hellbound Racing/Ocean County Powersports/DeCal Works/Factory Connection/Pirelli/Sunstar/Asterisk/6D/Hinson Clutch Components/Dubya USA/Matrix Concepts/MotoStuff/DT1 Filter Service/O
21,118,Cheyenne Harmon,"Dallas, TX",Yamaha YZ450F,11 Laps,1:07.106,Badassattorney.com/Shawnee Motor Company/Merge Racing/Maxim Yamaha/Oneal/Arai/Eks brand goggles/Deft family/Guts racing/Rekluse Motorsports/Hoosier Tires/Blud lubricants/Acerbis/Mx culture/T.I.S.C.O Racing/Pro Circuit/GAME moto/Dirt tricks/Defy Graphics/
22,27,Malcolm Stewart,"Haines City, FL",Honda CRF 450,4 Laps,1:02.474,Smarttop/BullFrog Spas/motoconcept/Seven/Scott Goggles/Shoei Helment/Garnae Boots
