POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,1,1,3,26,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,3,2,2,23,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,4,4,1,21,MONSTER ENERGY KAWASAKI
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,2,5,4,19,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
5,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,9,8,7,18,Rockstar Energy Husqvarna/Oneal/Artificial Grass Liquidators/Toyota Escondido
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,5,7,13,17,Team Honda HRC
7,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,12,9,6,16,MONSTER ENERGY-YAMAHA FACTORY RACING
8,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,8,13,8,15,MONSTER ENERGY KAWASAKI
9,1,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,6,6,17,14,Rockstar Energy Husqvarna Factory Racing
10,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,7,3,22,13,MONSTER ENERGY-YAMAHA FACTORY RACING
11,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,13,11,9,12,Jgrmx/Yoshimura/Suzuki Factory Racing
12,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,11,12,10,11,Smartop Bullfrog Spas Honda
13,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,10,22,5,10,Jgrmx/Yoshimura/Factory Suzuki Racing
14,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,14,14,11,9,Smartop Bullfrog Spas Honda
15,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,21,10,12,8,Rocky Mountain ATV/MC - KTM -WPS
16,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450F,15,15,16,7, 
17,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,16,18,14,6,Rocky Mountain ATV/MC - KTM -WPS
18,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,18,16,15,5,TPJ/Fly Racing/DSC Construction/LBeardsleycpa/Xbrand/RTS inc/Racetech/Gaerne/Evs/GET data/Bills Pipe/Devol/Neken/Ogio/Dubya
19,941,Angelo Pellegrini,Italy,Honda CRF 450,17,21,18,4,"Inukshuk, Motoconcepts, Hevik, Kappa Moto, Seven MX, Matrix, Tag, Risemousse, AB1, Nikon, Piovani, DCshoes, Scott, Bell, Alpinestars, Dunlop, GoBig.shop, Alpa, Cristalthick, Mobius, Trafomec, Selle Dalla Valle"
20,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,19,17,21,3,H.E.P. Motorsports/Suzuki/Thor/Mayhem Wheels/Redline Oil
21,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,22,19,19,2,TPJ Fly Racing/HRT/Carl Cycles/California Coast Plumbers/Karcher/Lucas Oil/Pirelli/Rekluse/Engine Ice/Acerbis/Magik Graphics/Galfer/Torc 1 Racing
22,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,20,20,20,1,Liberty Elevator Corp./ISC Racers Tape/50 Yardline Sports Bar/FXR Racing/Hellbound Racing/Ocean County Powersports/DeCal Works/Factory Connection/Pirelli/Sunstar/Asterisk/6D/Hinson Clutch Components/Dubya USA/Matrix Concepts/MotoStuff/DT1 Filter Service/O
