POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,23 Laps,0:54.598,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,0.760,0:54.348,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,9.126,0:54.827,Rocky Mountain ATV/MC - KTM - WPS
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,13.965,0:54.639,MONSTER ENERGY KAWASAKI
5,94,Ken Roczen,"Clermont, FL",Honda CRF 450,20.260,0:55.180,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
6,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,26.783,0:55.561,Rockstar Energy Husqvarna/Oneal/Artificial Grass Liquidators/Toyota Escondido
7,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,30.630,0:55.885,MONSTER ENERGY-YAMAHA FACTORY RACING
8,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,44.635,0:55.822,Smartop Bullfrog Spas Honda
9,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,48.592,0:55.299,Jgrmx/Yoshimura/Factory Suzuki Racing
10,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,55.625,0:55.461,Rocky Mountain ATV/MC - KTM - WPS
11,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,22 Laps,0:55.126,Team Honda HRC
12,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450F,5.949,0:56.466, 
13,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,14.309,0:56.369,Smartop Bullfrog Spas Honda
14,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,35.057,0:56.450,Jgrmx/Yoshimura/Suzuki Factory Racing
15,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,41.974,0:57.684,Leatt/Dunlop/J and j racing/Twisted development/Back yard designs/Dt1 Mika metals/Acerbis/Crankworks/Rekulise
16,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,48.819,0:57.790,H.E.P. Motorsports/Suzuki/Thor/Mayhem Wheels/Redline Oil
17,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,1:13.955,0:58.035,H.E.P. Motorsports/Suzuki/Thor/Mayhem Wheels/Redline Oil
18,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,21 Laps,0:58.109,9B Autoworks LLC
19,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,28.218,0:55.318,MONSTER ENERGY-YAMAHA FACTORY RACING
20,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,32.116,0:58.706,Liberty Elevator Corp./ISC Racers Tape/50 Yardline Sports Bar/FXR Racing/Hellbound Racing/Ocean County Powersports/DeCal Works/Factory Connection/Pirelli/Sunstar/Asterisk/6D/Hinson Clutch Components/Dubya USA/Matrix Concepts/MotoStuff/DT1 Filter Service/O
21,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,10 Laps,0:55.089,MONSTER ENERGY KAWASAKI
22,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,1:30.419,0:58.211,TPJ Fly Racing/HRT/Carl Cycles/California Coast Plumbers/Karcher/Lucas Oil/Pirelli/Rekluse/Engine Ice/Acerbis/Magik Graphics/Galfer/Torc 1 Racing
