POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,12 Laps,1:21.179,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,4.199,1:21.244,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,94,Ken Roczen,"Clermont, FL",Honda CRF 450,7.266,1:23.294,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
4,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,28.336,1:23.443,Rocky Mountain ATV/MC - KTM - WPS
5,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,43.520,1:27.082,Jgrmx/Yoshimura/Factory Suzuki Racing
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,45.709,1:26.381,MONSTER ENERGY-YAMAHA FACTORY RACING
7,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,51.440,1:23.533,MONSTER ENERGY KAWASAKI
8,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,55.260,1:24.249,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,1:05.973,1:26.072,Rocky Mountain ATV/MC - KTM - WPS
10,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,11 Laps,1:27.748,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
11,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,2.866,1:28.122,Smartop Bullfrog Spas Honda
12,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,21.253,1:27.734,Rockstar Energy Husqvarna/Oneal/Artificial Grass Liquidators/Toyota Escondido
13,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,24.017,1:30.119,Leatt/Dunlop/J and j racing/Twisted development/Back yard designs/Dt1 Mika metals/Acerbis/Crankworks/Rekulise
14,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,27.578,1:26.288,Team Honda HRC
15,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,38.681,1:32.539,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
16,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,10 Laps,1:35.458,BWR I L-Tec I SSI Decals
17,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,5.500,1:37.064,H.E.P. Motorsports Suzuki Thor Mayhem Wheels Redline Oil 
18,282,Theodore Pauli,"Edwardsville, IL",Kawasaki KX 450,29.911,1:33.594,TXS productions. Outlaw Motorsports. Hitch Hotel. Frog Fitness. Moto Hub. St Louis Tattoo. Top Secret Designs. Blud Lubricants. Dedicated Ride Co. FXR. Sic Wicks. Ryno Power. JH2. Route15 Cycles. Arai Helmets. Xtreme Kolors. Goldfren Brakes. As
19,74,Cade Autenrieth,"Hemet, CA",KTM 450 SX-F,9 Laps,1:34.156,AM Motocross/Eco-Tech Racing/TBT Racing/Arai/Scott/Mobius/Magik/Yoshimura
20,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,8 Laps,1:58.903,H.E.P. Motorsports Suzuki Thor Mayhem Wheels Redline Oil 
21,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,2 Laps,1:28.217,MONSTER ENERGY-YAMAHA FACTORY RACING
22,80,Heath Harrison,"Silverhill, AL",Kawasaki KX 450,DNS,,Imagine Moto/Romar Marina/Makson/FXR/Backyard Design/Arai/Sidi/Eks Brand/Dunlop/TPJ/Fast Lap Suspension/MX-Tech/FMF/Ride Eng./No Toil/Moto Stuff/Vortex EK/Got Gear
