POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,26 Laps,0:47.471,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,1.167,0:47.655,Rocky Mountain ATV/MC - KTM - WPS
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,2.141,0:47.553,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,18.325,0:48.134,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
5,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,20.418,0:47.756,MONSTER ENERGY-YAMAHA FACTORY RACING
6,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,23.935,0:48.410,MONSTER ENERGY KAWASAKI
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,34.863,0:48.461,Smartop Bullfrog Spas Honda
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,37.986,0:48.416,Rockstar Energy Husqvarna Factory Racing
9,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,42.079,0:48.523,MONSTER ENERGY KAWASAKI
10,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,25 Laps,0:48.633,Team Honda HRC
11,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,3.425,0:49.060,Jgrmx/Yoshimura/Suzuki Factory Racing
12,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,14.380,0:48.640,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
13,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,16.241,0:48.110,Jgrmx/Yoshimura/Factory Suzuki Racing
14,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,27.152,0:49.889,Rocky Mountain ATV/MC - KTM - WPS
15,201,Cedric Soubeyras,"Venasque, France",Husqvarna FC450,37.643,0:49.536,"Comité olympique Luxembourgeois, Team 2B Moraco, Monster Energy, Fox, Scott"
16,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,44.885,0:49.861,SMARTOP BULLFROG SPAS HONDA GDR FOX
17,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,47.241,0:50.681,H.E.P. Motorsports Suzuki/Mayhem Wheels/Thor/Redline Oil
18,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,24 Laps,0:50.153,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
19,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,23 Laps,0:49.985,H.E.P. Motorsports Suzuki/Mayhem Wheels/Thor/Redline Oil
20,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,22 Laps,0:51.321,Leatt/Dunlop/J and j racing/Twisted development/Backyard design/Dt1 Mika metals/Acerbis/Crankworks/Rekulse
21,412,Jared Lesher,"Ball Ground, GA",Honda CRF 450,21 Laps,0:52.464,Cherokee Guns Racing/FastLap Racing Suspension/Ride Engineering/MxTech/MotoOption/EVS/NoToil/Hinson/Mika Metals/Fly Racing/FMF/Cagletown Welding/MS Photography/MotoSeat/MotoStuff/MotoInk/Arrowhead Powersports/Jones Family Appliance Repair/Acerbis/Devol/GE
22,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,16 Laps,0:48.486,Rockstar Energy Husqvarna Factory Racing
