POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,24 Laps,0:52.182,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
2,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,4.794,0:52.360,Monster Energy Yamaha Factory Racing
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,8.742,0:52.489,Rockstar Energy Husqvarna Factory Racing
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,12.713,0:52.621,MONSTER ENERGY KAWASAKI
5,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,15.059,0:52.703,Rockstar Energy Husqvarna Factory Racing
6,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,19.864,0:52.452,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
7,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,21.194,0:52.407,MONSTER ENERGY KAWASAKI
8,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,22.780,0:52.741,Honda HRC
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,23.146,0:52.623,Team rocky mountain/WPS/KTM
10,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,32.021,0:52.781,Monster Energy Yamaha Factory Racing
11,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,34.060,0:52.600,Smartop/MotoConcepts/Bullfrog Spas Honda
12,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,38.977,0:52.933,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
13,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,40.134,0:53.682,Rockstar Energy Husqvarna Factory Racing
14,64,Vince Friese,"Menifee, CA",Honda CRF450R,53.722,0:53.745,Smartop BullFrog Honda
15,19,Justin Bogle,"Edmond, OK",KTM 450SX-F Factory Editi,23 Laps,0:54.147,Rocky Mountain ATV/MC KTM
16,44,Kyle Cunningham,"WIllow park, TX",Suzuki RMZ450,3.398,0:54.073,HEP Motorsports Suzuki
17,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,35.386,0:54.344,Rock River Yamaha
18,49,Chris Blose,"Phoenix, AZ",Honda CRF450R,47.092,0:55.381,"Chaparral, FXR Racing, Honda"
19,61,Alex Ray,"Milan, TN",Kawasaki KX450,22 Laps,0:55.950,"SGB_Racing, Maxxis, Babbitts Kawasaki"
20,53,James Decotis,"Huntersville, NC",Suzuki RMZ450,26.568,0:55.148,JGR/Yoshimura/Suzuki Factory Racing
21,22,Chad Reed,"Cornelius, NC",Honda CRF450R,9 Laps,0:56.299,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
22,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,DNF,,Team Tedder / Monster Energy Racing
