POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,1,1,1,26,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,2,2,3,23,MONSTER ENERGY KAWASAKI
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,5,3,2,21,Rockstar Energy Husqvarna Factory Racing
4,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,8,5,4,19,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,6,8,7,18,Monster Energy Yamaha Factory Racing
6,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,7,9,17,Honda HRC
7,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,4,14,6,16,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
8,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,3,6,17,15,MONSTER ENERGY KAWASAKI
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,11,9,8,14,Monster Energy Yamaha Factory Racing
10,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,12,4,14,13,Team rocky mountain/WPS/KTM
11,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,10,16,5,12,Team Tedder / Monster Energy Racing
12,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,9,13,10,11,Smartop/MotoConcepts/Bullfrog Spas Honda
13,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,16,10,11,10,Rockstar Energy Husqvarna Factory Racing
14,64,Vince Friese,"Menifee, CA",Honda CRF450R,13,12,12,9,Smartop BullFrog Honda
15,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,15,15,13,8,Triggr/RAK Racing/AHM Factory Services/Kawasaki
16,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,19,18,15,7,HEP Suzuki
17,49,Chris Blose,"Phoenix, AZ",Honda CRF450R,17,17,19,6,"Chaparral, FXR Racing, Honda"
18,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,22,11,22,5,Rockstar Energy Husqvarna Factory Racing
19,61,Alex Ray,"Milan, TN",Kawasaki KX450,20,20,16,4,"SGB_Racing, Maxxis, Babbitts Kawasaki"
20,22,Chad Reed,"Cornelius, NC",Honda CRF450R,18,19,21,3,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
21,19,Justin Bogle,"Edmond, OK",KTM 450SX-F Factory Editi,14,22,20,2,Rocky Mountain ATV/MC KTM
22,67,Jerry Robin,"Hamel, MN",Honda CRF450R,21,21,18,1,Fxr/Chaparral Honda
