POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,5,1,1,26,MONSTER ENERGY KAWASAKI
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,1,7,2,23,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,3,2,5,21,Rockstar Energy Husqvarna Factory Racing
4,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,4,5,4,19,Monster Energy Yamaha Factory Racing
5,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,7,4,3,18,Rockstar Energy Husqvarna Factory Racing
6,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,6,3,8,17,Smartop/MotoConcepts/Bullfrog Spas Honda
7,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,8,6,9,16,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,9,10,7,15,Monster Energy Yamaha Factory Racing
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,13,9,6,14,Rockstar Energy Husqvarna Factory Racing
10,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,10,8,13,13,Team rocky mountain/WPS/KTM
11,64,Vince Friese,"Menifee, CA",Honda CRF450R,12,11,10,12,Smartop BullFrog Honda
12,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,2,17,21,11,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
13,22,Chad Reed,"Cornelius, NC",Honda CRF450R,14,12,16,10,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
14,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,18,15,11,9,HEP Suzuki
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,19,13,12,8,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
16,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,16,14,14,7,Triggr/RAK Racing/AHM Factory Services/Kawasaki
17,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,11,20,19,6,Team Tedder / Monster Energy Racing
18,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,17,19,15,5,HEP Motorsports Suzuki
19,65,James Weeks,"Punta Gorda, FL",Yamaha YZ450F,20,16,17,4,TPJ Fly Racing
20,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,21,18,18,3,"Yuasa Battery Inc., ISC Racers Tape, FXR Racing, Decal Works, Hellbound Racing, Food for Life Baking Company, Liberty Elevator Corp., 50 Yardline Sports Bar, Engine Ice, Factory Connection, Dunlop, Bill's Pipes, Sunstar Sprockets, Acerbis, Spectro Oil, Hi"
21,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,15,21,22,2,Honda HRC
22,20,Broc Tickle,"Holly, MI",Suzuki RMZ450,22,22,20,1,JGR/Yoshimura/Suzuki Factory Racing
