POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,26 Laps,0:48.757,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,1.351,0:48.749,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
3,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,3.434,0:48.576,MONSTER ENERGY KAWASAKI
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,5.586,0:48.794,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,15.282,0:49.152,Rockstar Energy Husqvarna Factory Racing
6,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,30.449,0:49.672,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
7,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,31.399,0:49.588,Monster Energy/Star Racing/Yamaha
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,33.465,0:49.786,Rocky Mountain ATV MC- WPS- KTM
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,36.393,0:49.839,Monster Energy Yamaha Factory Racing
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,25 Laps,0:50.333,Rockstar Energy Husqvarna Factory Racing
11,20,Broc Tickle,"Holly, MI",Honda CRF450R,6.594,0:50.886,Smartop Bullfrog spas Motoconcepts Honda
12,40,Vince Friese,"Menifee, CA",Honda CRF450R,14.660,0:50.516,Smartop BullFrog Honda
13,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,27.149,0:51.192,Twisted Tea Suzuki
14,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,31.896,0:51.768,Muc Off Honda Racing
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,33.349,0:51.965,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
16,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,24 Laps,0:51.446,Team Tedder / Monster Energy Racing
17,81,Justin Starling,"Deland, FL",KTM 450 SX-F,23 Laps,0:54.218,GeneralGrind&Machine / Team199 / JSR Motorsports
18,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,21 Laps,0:53.605,Twisted Tea Suzuki
19,83,Alex Ray,"Milan, TN",Kawasaki KX450,10 Laps,0:52.887,SGB_Racing/Babbitts online Kawasaki/Maxxis /Oneal/HJC
20,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,5 Laps,0:53.351,System 3 Offroad/Tyler Bowers Racing/Kawasaki
21,23,Chase Sexton,"Clermont, FL",Honda CRF450R,3 Laps,0:49.714,Team Honda HRC
22,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,2 Laps,1:21.555,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
