POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,14 Laps,1:37.447,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,0.957,1:36.129,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
3,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,3.847,1:36.983,MONSTER ENERGY KAWASAKI
4,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,5.924,1:37.532,Monster Energy Yamaha Factory Racing
5,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,10.297,1:37.422,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
6,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,20.524,1:38.024,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
7,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,28.437,1:38.582,Monster Energy/Star Racing/Yamaha
8,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,33.424,1:38.580,Rockstar Energy Husqvarna Factory Racing
9,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,34.490,1:39.164,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
10,23,Chase Sexton,"Clermont, FL",Honda CRF450R,42.970,1:38.959,Team Honda HRC
11,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,48.753,1:38.100,Rockstar Energy Husqvarna Factory Racing
12,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,50.258,1:38.871,Rocky Mountain ATV MC- WPS- KTM
13,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,1:06.151,1:39.464,Team Tedder / Monster Energy Racing
14,20,Broc Tickle,"Holly, MI",Honda CRF450R,1:10.843,1:40.686,Smartop Motoconcepts Honda
15,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,1:29.482,1:42.508,System 3 Offroad/Tyler Bowers Racing/Kawasaki
16,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,1:39.549,1:42.392,Twisted Tea Suzuki
17,84,Josh Hill,"Huntersville, NC",Yamaha YZ450F,13 Laps,1:44.899,"Monster Energy, Mountain Motorsports Yamaha"
18,83,Alex Ray,"Milan, TN",Kawasaki KX450,16.727,1:45.366,SGB_Racing/Babbitts online Kawasaki/Maxxis /Oneal/HJC
19,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,21.968,1:45.617,Twisted Tea Suzuki
20,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,28.348,1:46.202,"Team PR-MX, Deep South Kawasaki, Wossner pistons"
21,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,1:01.422,1:46.145,Twisted Tea Suzuki
22,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,3 Laps,1:44.158,SmartTop BullFrog Spas Motoconcepts Honda
