POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,29 Laps,0:43.108,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,3.556,0:43.228,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
3,23,Chase Sexton,"Clermont, FL",Honda CRF450R,5.566,0:42.603,Team Honda HRC
4,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,8.300,0:43.150,Monster Energy/Star Racing/Yamaha
5,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,10.847,0:43.181,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
6,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,12.918,0:43.488,Rocky Mountain ATV MC- WPS- KTM
7,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,16.036,0:42.981,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,16.868,0:43.259,Monster Energy Yamaha Factory Racing
9,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,20.916,0:43.264,MONSTER ENERGY KAWASAKI
10,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,22.258,0:42.731,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,39.562,0:44.010,Rockstar Energy Husqvarna Factory Racing
12,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,28 Laps,0:44.331,Twisted Tea Suzuki
13,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,19.573,0:44.637,SmartTop BullFrog Spas Motoconcepts Honda
14,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,23.933,0:44.441,System 3 Offroad/Tyler Bowers Racing/Kawasaki
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,26.180,0:44.570,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
16,20,Broc Tickle,"Holly, MI",Honda CRF450R,27.988,0:43.809,Smartop Motoconcepts Honda
17,81,Justin Starling,"Deland, FL",KTM 450 SX-F,40.743,0:44.837,GeneralGrind&Machine / Team199 / JSR Motorsports
18,83,Alex Ray,"Milan, TN",Kawasaki KX450,27 Laps,0:44.821,SGB_Racing/Babbitts online Kawasaki/Maxxis /Oneal/HJC
19,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,11.476,0:45.614,"Team PR-MX, Deep South Kawasaki, Wossner pistons"
20,43,Fredrik Noren,"Indian Trail, NC",Kawasaki KX450,13.046,0:45.687,Ikthus CBD/ Brittenum/Kawasaki
21,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,26 Laps,0:45.875,"MADD Parts, DEMX, Namura Tech, TXS Productions, Jonesboro Cycle,Circuit84,SeaGems, FXR, Blud, DedicatedRideCo, TopSecretDesigns, Devol, Grants Siding, LS2, Pirelli, Flow Vision, Phoenix Handlebars, None, RynoPower, SBS, DirtTricks, Euromoto, Route15cycle,"
22,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,9 Laps,0:43.819,Rockstar Energy Husqvarna Factory Racing
