POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,26 Laps,0:48.476,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,0.468,0:48.126,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
3,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,14.431,0:48.944,MONSTER ENERGY KAWASAKI
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,20.174,0:48.504,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
5,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,23.385,0:48.906,MONSTER ENERGY KAWASAKI
6,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,30.207,0:49.064,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
7,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,33.903,0:49.490,Monster Energy Yamaha Factory Racing
8,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,43.291,0:49.590,Rockstar Energy Husqvarna Factory Racing
9,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,48.029,0:49.300,Rockstar Energy Husqvarna Factory Racing
10,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,49.043,0:49.846,"Muc-Off, Honda, Fly Racing"
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,54.088,0:50.333,Rockstar Energy Husqvarna Factory Racing
12,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,25 Laps,0:49.807,Monster Energy/Star Racing/Yamaha
13,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,1.584,0:49.254,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
14,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,19.537,0:50.827,Rocky Mountain ATV/MC-KTM_WPS
15,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,23.815,0:51.252,MotoConcepts
16,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,25.804,0:50.577,Team Tedder / Monster Energy Racing
17,20,Broc Tickle,"Holly, MI",Honda CRF450R,26.335,0:51.005,Smartop Bullfrog spas Motoconcepts Honda
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,24 Laps,0:51.316,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
19,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,14.865,0:51.486,Smartop BullFrog Honda
20,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,23 Laps,0:50.600,Rocky Mountain ATV/MC - KTM - WPS
21,805,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,11.398,0:52.512,"TeamBWR, L-TEC, Fly Racing, SSI"
22,981,Austin Politelli,"Murrieta, CA",Honda CRF450R,6 Laps,0:53.642,"HRT Racing, California Coast Plumbers, Burke Mechanical, South Bound Honda"
