POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,26 Laps,0:46.637,"Team Honda HRC, Red Bull, Fox Racing, Art of Sport, Breitling, Canyon"
2,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,7.909,0:47.342,Troy Lee Designs- Red Bull- GASGAS FACTORY RACING
3,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,10.798,0:47.029,MONSTER ENERGY KAWASAKI
4,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,19.362,0:47.858,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
5,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,21.554,0:47.337,Monster Energy Yamaha Factory Racing
6,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,31.000,0:47.689,MONSTER ENERGY KAWASAKI
7,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,31.656,0:47.790,Rockstar Energy Husqvarna Factory Racing
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,39.382,0:48.002,Rocky Mountain ATV MC- WPS- KTM
9,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,47.687,0:48.121,Monster Energy/Star Racing/Yamaha
10,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,25 Laps,0:47.351,"Monster Energy/Star Racing Yamaha, Seven Brand Inc, Shoei Helment, Scott Goggles, Garnae Boots"
11,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,0.225,0:48.057,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
12,20,Broc Tickle,"Holly, MI",Honda CRF450R,9.037,0:49.198,Smartop Bullfrog spas Motoconcepts Honda
13,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,13.686,0:49.206,MotoConcepts
14,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,24.261,0:48.322,Team Tedder / Monster Energy Racing
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,31.922,0:49.808,"Team Chiz, RickieFowler.com, YAMAHA, LS2"
16,19,Justin Bogle,"Edmond, OK",KTM 450 SX-F FE,36.509,0:49.047,Rocky Mountain ATV/MC - KTM - WPS
17,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,37.634,0:50.100,Twisted tea HEP Suzuki
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,24 Laps,0:50.043,"TeamBWR, L-TEC, Fly Racing, SSI"
19,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,13.726,0:49.971,Smartop BullFrog Honda
20,83,Alex Ray,"Milan, TN",Kawasaki KX450,27.808,0:50.081,SGB_Racing/Babbitts online Kawasaki/Maxxis /Oneal/HJC
21,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,22 Laps,0:51.545,"Team PR-MX, Pelletier Kawasaki, Wossner pistons"
22,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,16 Laps,0:47.912,"Muc-Off, Honda, Fly Racing"
