POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,4,-,11,1,26
2,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,2,-,0,2,23
3,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,6,X,8,3,21
4,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,1,-,0,4,19
5,40,Chase Sexton,"Clermont, FL",Honda CRF 250,3,-,0,5,18
6,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,12,-,0,6,17
7,42,Dakota Alix,"Jay, VT",KTM 250SX-F Factory Editi,9,-,0,7,16
8,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,18,-,0,8,15
9,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,7,-,0,9,14
10,137,Martin Castelo,"Murrieta, CA",Yamaha YZ250F,21,-,0,10,13
11,741,Blake Wharton,"Denton, TX",Yamaha YZ250F,8,-,0,11,12
12,86,Dylan Merriam,"Corona, CA",Yamaha YZ250F,16,-,0,12,11
13,68,Justin Starling,"Deland, FL",Husqvarna FC250,11,-,0,13,10
14,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,5,-,0,14,9
15,170,Michael Leib,"Menifee, CA",Yamaha YZ250F,14,-,0,15,8
16,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,10,-,0,16,7
17,388,Brandan Leith,"Eagle Mountain, UT",Kawasaki KX 250F,17,-,0,17,6
18,160,Jess Pettis,"Prince George, Canada",Yamaha YZ250F,19,-,0,18,5
19,71,Josh Mosiman,"Menifee, CA",Husqvarna FC250,20,-,0,19,4
20,321,Bradley Lionnet,"Menifee, CA",Kawasaki KX 250F,13,-,0,20,3
21,141,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,15,-,0,21,2
22,81,Chase Marquier,"Newcastle, OK",Husqvarna FC250,22,-,0,22,1
