POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,5,-,6,1,26
2,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,6,X,12,2,23
3,40,Chase Sexton,"Clermont, FL",Honda CRF 250,3,-,0,3,21
4,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,2,-,0,4,19
5,32,Christian Craig,"Orange, CA",Honda CRF 250,7,-,0,5,18
6,52,Mitchell Oldenburg,"Alvord, TX",Yamaha YZ250F,4,-,0,6,17
7,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,1,-,0,7,16
8,53,Bradley Taft,"Nixa, MO",Yamaha YZ250F,8,-,0,8,15
9,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,13,-,0,9,14
10,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,9,-,0,10,13
11,42,Dakota Alix,"Jay, VT",KTM 250SX-F Factory Editi,11,-,0,11,12
12,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,15,-,0,12,11
13,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,17,-,0,13,10
14,67,Justin Hoeft,"Castaic, CA",Yamaha YZ250F,19,-,0,14,9
15,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,10,-,0,15,8
16,68,Justin Starling,"Deland, FL",Husqvarna FC250,12,-,0,16,7
17,992,Jean Ramos,"Corona, CA",Yamaha YZ250F,20,-,0,17,6
18,902,Killian Auberson,"Corona, CA",KTM 250 SX-F,16,-,0,18,5
19,77,Ryan Surratt,"Corona, CA",KTM 250 SX-F,21,-,0,19,4
20,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 250,18,-,0,20,3
21,137,Martin Castelo,"Murrieta, CA",Yamaha YZ250F,14,-,0,21,2
22,117,Julio Zambrano,"San Jacinto, CA",Husqvarna TC250,22,-,0,22,1
