POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,2,-,8,1,26
2,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,3,-,0,2,23
3,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,10,-,0,3,21
4,32,Christian Craig,"Orange, CA",Honda CRF 250,6,-,9,4,19
5,26,Alex Martin,"Millville, MN",KTM 250 SX-F,8,X,2,5,18
6,40,Chase Sexton,"Clermont, FL",Honda CRF 250,5,-,0,6,17
7,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,4,-,0,7,16
8,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,9,-,0,8,15
9,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,19,-,0,9,14
10,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,7,-,0,10,13
11,67,Justin Hoeft,"Castaic, CA",Yamaha YZ250F,12,-,0,11,12
12,992,Jean Ramos,"Corona, CA",Yamaha YZ250F,14,-,0,12,11
13,68,Justin Starling,"Deland, FL",Husqvarna FC250,20,-,0,13,10
14,137,Martin Castelo,"Murrieta, CA",Yamaha YZ250F,16,-,0,14,9
15,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,1,-,0,15,8
16,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,17,-,0,16,7
17,217,Ryan Breece,"Athol, ID",Kawasaki KX 250F,15,-,0,17,6
18,117,Julio Zambrano,"San Jacinto, CA",Husqvarna FC250,21,-,0,18,5
19,81,Chase Marquier,"Newcastle, OK",Husqvarna FC250,22,-,0,19,4
