POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,2,-,6,1,26
2,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,1,-,11,2,23
3,40,Chase Sexton,"Clermont, FL",Honda CRF 250,6,-,0,3,21
4,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,3,X,1,4,19
5,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,7,-,0,5,18
6,32,Christian Craig,"Orange, CA",Honda CRF 250,4,-,0,6,17
7,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,9,-,0,7,16
8,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,5,-,0,8,15
9,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,13,-,0,9,14
10,53,Bradley Taft,"Nixa, MO",Yamaha YZ250F,8,-,0,10,13
11,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,10,-,0,11,12
12,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,19,-,0,12,11
13,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,16,-,0,13,10
14,42,Dakota Alix,"Jay, VT",KTM 250SX-F Factory Editi,11,-,0,14,9
15,68,Justin Starling,"Deland, FL",Husqvarna FC250,14,-,0,15,8
16,902,Killian Auberson,"Corona, CA",KTM 250 SX-F,15,-,0,16,7
17,321,Bradley Lionnet,"Menifee, CA",Kawasaki KX 250F,22,-,0,17,6
18,170,Michael Leib,"Menifee, CA",Yamaha YZ250F,20,-,0,18,5
19,141,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,18,-,0,19,4
20,217,Ryan Breece,"Athol, ID",Kawasaki KX 250F,21,-,0,20,3
21,992,Jean Ramos,"Corona, CA",Yamaha YZ250F,17,-,0,21,2
