POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,35,Austin Forkner,"Richards, MO",Kawasaki KX 250F,4,2,3,26,MONSTER ENERGY PRO CIRCUIT KAWASAKI
2,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,3,4,6,21,Troy Lee Designs/ Red Bull/ KTM
3,36,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,7,5,4,19,GEICO Honda/AMSOIL/Factory Connection
4,6,Jeremy Martin,"Millville, MN",Honda CRF 250,6,10,1,18,GEICO Honda/AMSOIL/Factory Connection
5,31,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,5,11,2,17, 
6,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,11,7,7,16,Autotrader/JGR/Yoshimura/Suzuki Factory Racing 
7,29,Martin Davalos,"Clermont, FL",Kawasaki KX 250F,8,1,17,15,MONSTER ENERGY PRO CIRCUIT KAWASAKI
8,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,12,8,9,14,CycleTrader Rock River YAMAHA
9,47,James Decotis,"Peabody, MA",Suzuki RM-Z250,9,14,8,13,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
10,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,13,9,14,12,Traders Racing - Tic Tabs / Ohlins / Atv's & More
11,49,Nick Gaines,"Ringgold, GA",Yamaha YZ250F,15,16,11,11,Traders Racing/Ohlins/Shot Race Gear/EVS/RynoPower/Scott/Bundy Built Motors
12,64,Michael Mosiman,"Sebastopol, CA",Husqvarna FC250,18,12,12,10,Rockstar Energy Husqvarna Factory Racing
13,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,14,15,13,9,Troy Lee Designs/ Red Bull/ KTM
14,66,Cameron Mcadoo,"Sioux City, IA",Honda CRF 250,16,6,20,8,GEICO Honda/AMSOIL/Factory Connection
15,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,10,13,21,7,Rocky Mountain ATV/MC - KTM - WPS
16,24,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,2,22,22,6,Monster Energy/Yamalube/Thor/Parts Unlimited/Yamaha
17,111,Chris Blose,"Phoenix, AZ",Honda CRF 250,22,19,10,5,"Rockford Fosgate, TiLube, Honda"
18,373,Jacob Williamson,"Swartz Creek, MI",Honda CRF 250,17,20,15,4,Rockford Fosgate TiLube Honda Storm Lake Honda_4 Makson podium ink Yoshimura Hinson Renthal JRC Rk excel Cycra Arc Dunlop Moto stuff Pro pegs Seat concepts RaceTech Titanium Twin air Hammer head Motion pro Moto tape Ssi Factory connection ICW e
19,174,Joshua Osby,"Valparaiso, IN",KTM 250 SX-F,19,17,16,3,ClubMX/RSR/RedemptionRacing
20,61,Heath Harrison,"Silverhill, AL",Honda CRF 250,21,18,18,2,"Rockford Fosgate, TiLube, Honda, fly, Alpinestar, Scott. "
21,96,Zack Williams,"Elko, MN",KTM 250 SX-F,20,21,19,1,ClubMX/rsr/redemption racing
22,1,Zach Osborne,"Abingdon, VA",Husqvarna FC250,1,3,5,,Rockstar Energy Husqvarna Factory Racing
