POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,2,1,2,26,Monster Energy/Star Racing/Yamaha
2,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,3,2,4,23,GEICO Honda/AMSOIL/Factory Connection
3,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,5,4,1,21,Monster Energy/Star Racing/Yamaha
4,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,1,10,3,19,MONSTER ENERGY PRO CIRCUIT KAWASAKI
5,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,6,5,6,18,Jgrmx/Yoshimura/Suzuki Factory Racing
6,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,9,6,5,17,GEICO Honda/AMSOIL/Factory Connection
7,60,Justin Starling,"Deland, FL",Husqvarna FC250,12,8,8,16,Gas Monkey Energy / AJE Motorsports
8,40,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,11,7,13,15,Troy Lee Designs/ Red Bull/ KTM
9,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,10,3,19,14,MONSTER ENERGY PRO CIRCUIT KAWASAKI
10,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,8,19,7,13,Gas Monkey Energy / AJE Motorsports
11,72,Martin Castelo,"Murrieta, CA",Husqvarna FC250,15,12,9,12,JMC Motorsports Racing/ Fly Racing WPS/ Husqvarna Motorcycles/ Integrity Electric
12,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,4,18,14,11,Rockstar Energy Husqvarna Factory Racing
13,156,Jacob Hayes,"Greensboro, NC",Yamaha YZ250F,7,20,10,10,Cycle Trader Rock River YAMAHA
14,170,Michael Leib,"Temecula, CA",Husqvarna FC250,16,9,12,9,"JMC Motorsports, Canvas MX, Rocket Exhaust, On Track School"
15,471,Logan Karnow,"Vermilion, OH",Kawasaki KX 250,17,13,11,8,Team PRMX/Strikt Gear/Pelletier Kawasaki
16,54,Dylan Merriam,"Corona, CA",Husqvarna FC250,13,11,20,7,Gas Monkey Energy / AJE Motorsports
17,68,Brandan Leith,"Eagle Mountain, UT",Husqvarna FC250,19,14,15,6,"Jmc Motorsports,fly racing, intergrity electric, Husqvarna motorcycles"
18,83,Killian Auberson,"Winchester, CA",KTM 250 SX-F,14,16,18,5, 
19,221,Mathias Jorgensen,"Bjerge, Denmark",KTM 250 SX-F,20,15,16,4,-- none listed --
20,122,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,18,17,17,3,"JMC Motorsports, Fly Racing, Husqvarna Motorcycles, Integrity Electric"
21,321,Bradley Lionnet,"Menifee, CA",Yamaha YZ250F,21,21,22,2, 
22,141,Robbie Wageman,"Newhall, CA",Honda CRF 250,22,22,21,1,"Fasthouse, BWR Engines, Gaerne, SSI, Dunlop, Xbrand, R-Jersey"
