POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,2,-,19,1,26
2,23,Chase Sexton,"Clermont, FL",Honda CRF 250,1,-,0,2,23
3,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,6,X,0,3,21
4,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,14,-,0,4,19
5,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,11,-,0,5,18
6,66,Mitchell Oldenburg,"Godley, TX",Yamaha YZ250F,5,-,0,6,17
7,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,8,-,0,7,16
8,264,Ryan Sipes,"Ekron, KY",KTM 250 SX-F,3,-,0,8,15
9,123,Mitchell Falk,"Costa Mesa, CA",KTM 250 SX-F,9,-,0,9,14
10,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,4,-,0,10,13
11,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,12,-,0,11,12
12,56,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX 250,16,-,0,12,11
13,63,John Short,"Pilot Point, TX",Honda CRF 250,10,-,0,13,10
14,101,Fredrik Noren,"West Farmington, OH",Honda CRF 250,17,-,0,14,9
15,81,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,13,-,0,15,8
16,700,James Weeks,"Punta Gorda, FL",Yamaha YZ250F,20,-,0,16,7
17,96,Chase Marquier,"Newcastle, OK",Husqvarna FC250,15,-,0,17,6
18,74,Cade Autenrieth,"Hemet, CA",Honda CRF 250,21,-,0,18,5
19,346,Kevin Moranz,"Topeka, KS",Kawasaki KX 250,22,-,0,19,4
20,70,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,7,-,0,20,3
21,65,Anthony Rodriguez,"Tallahassee, Fl",Honda CRF 250,18,-,0,21,2
22,511,Steven Clarke,"Stourbridge, United Kingdom",Honda CRF 250,19,-,0,22,1
