POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,23,Chase Sexton,"Clermont, FL",Honda CRF 250,2,-,11,1,26
2,66,Mitchell Oldenburg,"Godley, TX",Yamaha YZ250F,1,-,0,2,23
3,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,10,-,0,3,21
4,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,3,-,6,4,19
5,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,12,-,0,5,18
6,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,14,-,0,6,17
7,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,4,X,0,7,16
8,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,5,-,0,8,15
9,56,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX 250,6,-,0,9,14
10,65,Anthony Rodriguez,"Tallahassee, Fl",Honda CRF 250,18,-,0,10,13
11,70,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,9,-,0,11,12
12,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,16,-,0,12,11
13,101,Fredrik Noren,"West Farmington, OH",Honda CRF 250,13,-,0,13,10
14,74,Cade Autenrieth,"Hemet, CA",Honda CRF 250,11,-,0,14,9
15,123,Mitchell Falk,"Costa Mesa, CA",KTM 250 SX-F,7,-,0,15,8
16,63,John Short,"Pilot Point, TX",Honda CRF 250,19,-,0,16,7
17,161,Justin Thompson,"Johannesburg, South Africa",Yamaha YZ250F,17,-,0,17,6
18,90,Jeremy Hand,"Mantua, OH",Honda CRF 250,20,-,0,18,5
19,96,Chase Marquier,"Newcastle, OK",Husqvarna FC250,21,-,0,19,4
20,700,James Weeks,"Punta Gorda, FL",Yamaha YZ250F,15,-,0,20,3
21,159,Jace Owen,"Mattoon, IL",Honda CRF 250,22,-,0,21,2
22,24,Austin Forkner,"Richards, MO",Kawasaki KX 250F,8,-,0,22,1
