POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,24,Austin Forkner,"Richards, MO",Kawasaki KX 250F,1,1,1,26,MONSTER ENERGY PRO CIRCUIT KAWASAKI
2,28,Jordon Smith,"Belmont, NC",KTM 250 SX-F,2,2,4,23,Troy Lee Designs/ Red Bull/ KTM
3,23,Chase Sexton,"Clermont, FL",Honda CRF 250,4,4,2,21,GEICO Honda/AMSOIL/Factory Connection
4,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,3,5,3,19,Monster Energy/Thor/Parts Unlimited/Star Racing
5,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,5,7,5,18,MONSTER ENERGY PRO CIRCUIT KAWASAKI
6,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,10,3,6,17,JGRMX/Yoshimura/Suzuki Factory Racing
7,66,Mitchell Oldenburg,"Godley, TX",Yamaha YZ250F,6,6,8,16,Monster Energy/Thor/Yamaha/Parts Unlimited
8,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,11,8,7,15,JGRMX/Yoshimura/Suzuki Factory Racing
9,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,8,11,10,14,HRT/Cherokee/Freedom/Merge racing/Honda
10,93,Blake Wharton,"Denton, TX",Honda CRF 250,9,10,16,13,TiLUBE Storm Lake Honda by Buddy Brooks/JRC/JWE/Yoshimura/Leatt/Hinson/Hoosier Tire/Diamond Billard Products/JE Pistons/Calico Coatings/Racetech Titanium/ARC Levers/Cometic Gaskets/Vortex Ignitions/Slick Products/Factory Connection/MotoStuff/Acerbis/RK Ex
11,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,7,9,21,12,CycleTrader Rock River YAMAHA
12,56,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX 250,13,14,11,11,"LEGENDS AND HEROES, KISSIMMEE MOTOR SPORTS, PROCIRCUIT, LEATT"
13,49,Henry Miller,"Rochester, MN",KTM 250 SX-F,12,13,15,10,Stussy construction/R&B car company/FXR/Ownes locker plant/Method pools/Eks goggles/6D helmets/Blud lubricants/FMF/Dirt tricks/Hoosier Tires/Powerband/Guts racing/EVS/Sidi boots/JL photography/Black Diamond graphics/Twin Air/Hinson/Motion Pro/Renthal/Wor
14,81,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,14,15,12,9,EBR Performance/Altus Motorsports/Tucker Powersports/Yamaha Racing/Load Lugger
15,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,22,12,9,8,Rockstar Energy Husqvarna Factory Racing
16,63,John Short,"Pilot Point, TX",Honda CRF 250,20,16,13,7,TPJ Racing
17,511,Steven Clarke,"Stourbridge, United Kingdom",Honda CRF 250,17,22,14,6,"TiLUBE Stormlake Honda by Buddy Brooks
JRC
JWE
Yoshimura
Leatt
Hinson
Hoosier Tire
Diamond Bullard Products
JE Pistons
Calico Coatings
Racetech Titanium
ARC Levers
Cometic Gaskets
Vortex Ignitions
Slick Products
Factory Connection
M"
18,70,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,16,20,17,5,CTR Motorsports / Traders Racing / Club Mx /Redemption Racing/ Ohlins / ATV's & More/Yamaha
19,96,Chase Marquier,"Newcastle, OK",Husqvarna FC250,18,19,18,4,"JMC Motorsports Racing, Fly Racing, Husqvarna Motorcycles, Integrity Electric"
20,161,Justin Thompson,"Concord, NC",Yamaha YZ250F,19,17,20,3,THOR/ASTERIX
21,98,Wilson Fleming,"Cairo, GA",Husqvarna FC250,21,18,19,2,Mx Locker
22,78,Ramyller Alves,"Coconut Creek, FL",Yamaha YZ250F,15,21,22,1,EBR Performance/Altus Motorsports/Tucker Powersports/Yamaha
