POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,5,-,9,1,26
2,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,13,-,0,2,23
3,24,Austin Forkner,"Richards, MO",Kawasaki KX 250F,2,X,11,3,21
4,23,Chase Sexton,"Clermont, FL",Honda CRF 250,4,-,0,4,19
5,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,10,-,0,5,18
6,12,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,1,-,0,6,17
7,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,3,-,0,7,16
8,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,6,-,0,8,15
9,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,7,-,0,9,14
10,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,16,-,0,10,13
11,156,Jacob Hayes,"Greensboro, NC",Yamaha YZ250F,9,-,0,11,12
12,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,15,-,0,12,11
13,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,11,-,0,13,10
14,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,8,-,0,14,9
15,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,22,-,0,15,8
16,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,21,-,0,16,7
17,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,20,-,0,17,6
18,28,Jordon Smith,"Belmont, NC",KTM 250 SX-F,12,-,0,18,5
19,65,Anthony Rodriguez,"Tallahassee, Fl",Yamaha YZ250F,18,-,0,19,4
20,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,17,-,0,20,3
21,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,14,-,0,21,2
22,70,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,19,-,0,22,1
