POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,1,-,19,1,26
2,31,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,2,-,0,2,23
3,150,Seth Hammaker,"Temecula, CA",Kawasaki KX250,7,-,0,3,21
4,47,Jalek Swoll,"Belleview, FL",Husqvarna FC 250,5,-,0,4,19
5,41,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,3,-,0,5,18
6,48,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,19,-,0,6,17
7,60,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,9,-,0,7,16
8,56,Kyle Peters,"Greensboro, NC",Honda CRF250R,11,-,0,8,15
9,91,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,8,-,0,9,14
10,59,Jarrett Frye,"Mechanicsville, MD",Yamaha YZ250F,4,-,0,10,13
11,68,Jace Owen,"Mattoon, IL",Yamaha YZ250F,13,-,0,11,12
12,39,Carson Mumford,"Simi Valley, CA",Honda CRF250R,10,-,0,12,11
13,464,Dominique Thury,"Schneeberg, ",Yamaha YZ250F,12,-,0,13,10
14,72,Coty Schock,"Dover, DE",Honda CRF250R,6,-,0,14,9
15,201,Cedric Soubeyras,"Venasque, ",GASGAS MC 250F,22,-,0,15,8
16,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,15,-,0,16,7
17,50,Enzo Lopes,"Huntersville, NC",Honda CRF250R,17,-,0,17,6
18,118,Cheyenne Harmon,"Roanoke, TX",Yamaha YZ250F,14,-,0,18,5
19,611,Calvin Fonvieille,"Lescure dAlbigeois, FR",KTM 250 SX-F,18,-,0,19,4
20,93,Hardy Munoz,"Glendale , AZ",Yamaha YZ250F,21,-,0,20,3
21,460,Michael Hicks,"Fenton, MO",KTM 250 SX-F,20,-,0,21,2
22,73,Derek Kelley,"Riverside , CA",GASGAS MC 250F,16,-,0,22,1
