POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,2,-,11,1,26
2,41,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,4,-,0,2,23
3,31,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,1,-,0,3,21
4,91,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,5,-,0,4,19
5,48,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,10,-,0,5,18
6,35,Mitchell Harrison,"Murrieta, CA",Honda CRF250R,6,-,0,6,17
7,72,Coty Schock,"Dover, DE",Honda CRF250R,8,-,0,7,16
8,45,Pierce Brown,"Sandy, UT",GASGAS MC 250F,13,-,0,8,15
9,150,Seth Hammaker,"Temecula, CA",Kawasaki KX250,20,-,0,9,14
10,47,Jalek Swoll,"Clermont, FL",Husqvarna FC 250,3,-,0,10,13
11,56,Kyle Peters,"Greensboro, NC",Honda CRF250R,9,-,0,11,12
12,68,Jace Owen,"Mattoon, IL",Yamaha YZ250F,11,-,0,12,11
13,75,Ty Masterpool,"Paradise, TX",GASGAS MC 250F,15,-,0,13,10
14,220,Ramyller Alves,"Coconut Creek, FL",Husqvarna FC 250,18,-,0,14,9
15,60,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,7,-,0,15,8
16,59,Jarrett Frye,"Mechanicsville, MD",Yamaha YZ250F,19,-,0,16,7
17,50,Enzo Lopes,"Huntersville, NC",Honda CRF250R,14,-,0,17,6
18,77,Jerry Robin,"Hamel, MN",Husqvarna FC 250,21,-,0,18,5
19,201,Cedric Soubeyras,"Venasque, ",GASGAS MC 250F,16,-,0,19,4
20,90,Dilan Schwartz,"Alpine, CA",Suzuki RM-Z250,22,-,0,20,3
21,33,Derek Drake,"Lake Elsinore, CA",Suzuki RM-Z250,17,-,0,21,2
