POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,3,-,19,1,26
2,18,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,1,-,0,2,23
3,64,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,2,-,0,3,21
4,42,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,6,-,0,4,19
5,773,Thomas Do,"Murrieta, CA",KTM 250 SX-F,4,-,0,5,18
6,241,Joshua Varize,"Perris, CA",KTM 250 SX-F,19,-,0,6,17
7,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,8,-,0,7,16
8,914,Geran Stapleton,"Cape Schanck, VIC",Honda CRF250R,10,-,0,8,15
9,193,Hunter Schlosser,"El Paso, TX",Yamaha YZ250F,12,-,0,9,14
10,55,John Short,"Pilot Point, TX",Suzuki RM-Z250,5,-,0,10,13
11,125,Luke Neese,"Jamestown, NC",Kawasaki KX250,20,-,0,11,12
12,170,Devin Simonson,"Laurinburg, NC",Kawasaki KX250,14,-,0,12,11
13,621,RJ Wageman,"Newhall, CA",Yamaha YZ250F,16,-,0,13,10
14,509,Alexander Nagy,"Richmond, IL",KTM 250 SX-F,11,-,0,14,9
15,162,Maxwell Sanford,"Pasadena, MD",Honda CRF250R,9,-,0,15,8
16,57,Justin Rodbell,"Prince Frederick, MD",Kawasaki KX250,15,-,0,16,7
17,185,Wilson Fleming,"Jacksonville, FL",Honda CRF250R,17,-,0,17,6
18,625,Jonah Geistler,"Newark, IL",KTM 250 SX-F,22,-,0,18,5
19,974,Brian Marty,"Olympia, WA",Husqvarna FC 250,18,-,0,19,4
20,597,Mason Kerr,"Altoona, IA",Kawasaki KX250,21,-,0,20,3
21,124,Lane Shaw,"Alvin, TX",KTM 250 SX-F,13,-,0,21,2
22,95,Joshua Osby,"Valparaiso, IN",Honda CRF250R,7,-,0,22,1
