POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,64,Colt Nichols,"Murrieta, CA",Yamaha YZ250F,2,-,12,1,26
2,29,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,-,0,2,23
3,42,Michael Mosiman,"Sebastopol, CA",GASGAS MC 250F,4,X,7,3,21
4,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,6,-,0,4,19
5,76,Grant Harlan,"Justin, TX",Honda CRF250R,3,-,0,5,18
6,122,Jeremy Hand,"Mantua, OH",Honda CRF250R,12,-,0,6,17
7,241,Joshua Varize,"Perris, CA",KTM 250 SX-F,9,-,0,7,16
8,95,Joshua Osby,"Valparaiso, IN",Honda CRF250R,7,-,0,8,15
9,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,18,-,0,9,14
10,85,Kevin Moranz,"Topeka, KS",KTM 250 SX-F,5,-,0,10,13
11,185,Wilson Fleming,"Jacksonville, FL",Honda CRF250R,22,-,0,11,12
12,124,Lane Shaw,"Alvin, TX",KTM 250 SX-F,20,-,0,12,11
13,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,17,-,0,13,10
14,384,Lorenzo Camporese,"Campodarsego, ITA",Kawasaki KX250,21,-,0,14,9
15,87,Curren Thurman,"Rosharon, TX",KTM 250 SX-F,13,-,0,15,8
16,193,Hunter Schlosser,"El Paso, TX",Yamaha YZ250F,10,-,0,16,7
17,125,Luke Neese,"Jamestown, NC",Kawasaki KX250,15,-,0,17,6
18,437,Vincent Luhovey,"Greensburg, PA",KTM 250 SX-F,16,-,0,18,5
19,773,Thomas Do,"Murrieta, CA",KTM 250 SX-F,8,-,0,19,4
20,49,Mitchell Oldenburg,"Aledo, TX",Honda CRF250R,,-,0,20,3
21,604,Max Miller,"Springfield, OR",KTM 250 SX-F,14,-,0,21,2
