POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,3,-,19,1,26
2,31,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,2,-,0,2,23
3,48,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,12,-,0,3,21
4,47,Jalek Swoll,"Belleview, FL",Husqvarna FC 250,11,-,0,4,19
5,41,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,5,-,0,5,18
6,150,Seth Hammaker,"Temecula, CA",Kawasaki KX250,4,-,0,6,17
7,56,Kyle Peters,"Greensboro, NC",Honda CRF250R,9,-,0,7,16
8,60,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,6,-,0,8,15
9,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,16,-,0,9,14
10,68,Jace Owen,"Mattoon, IL",Yamaha YZ250F,14,-,0,10,13
11,91,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,20,-,0,11,12
12,72,Coty Schock,"Dover, DE",Honda CRF250R,19,-,0,12,11
13,61,Joey Crown,"Metamora, MI",Yamaha YZ250F,17,-,0,13,10
14,220,Ramyller Alves,"Coconut Creek, FL",KTM 250 SX-F,15,-,0,14,9
15,35,Mitchell Harrison,"Murrieta, CA",Honda CRF250R,13,-,0,15,8
16,201,Cedric Soubeyras,"Venasque, ",GASGAS MC 250F,21,-,0,16,7
17,90,Dilan Schwartz,"Alpine, CA",Suzuki RM-Z250,22,-,0,17,6
18,67,Stilez Robertson,"Murrieta, CA",Husqvarna FC 250,7,-,0,18,5
19,59,Jarrett Frye,"Mechanicsville, MD",Yamaha YZ250F,18,-,0,19,4
20,80,Jordon Smith,"Ochlocknee, GA",Kawasaki KX250,10,-,0,20,3
