POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,96,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,2,1,2,26,Team Honda HRC
2,28,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,4,1,23,Monster Energy Star Racing Yamaha
3,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,5,3,3,21,Monster energy ProCircuit Kawasaki
4,35,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,4,6,6,19,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
5,62,Vince Friese,"Menifee, CA",Honda CRF250R,3,10,4,18,Smartop Bullfrog Spas MotoConcepts Honda
6,31,Jalek Swoll,"Clermont, FL",Husqvarna FC 250,6,5,7,17,Rockstar Energy Husqvarna Factory Racing
7,49,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,8,7,5,16,Monster Energy Star Racing Yamaha
8,910,Carson Brown,"Ravensdale, WA",KTM 250 SX-F,9,9,8,15,AEO Powersports KTM Racing
9,29,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,10,2,15,14,Troy Lee Designs Red Bull GASGAS Factory Racing
10,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,15,8,10,13,Team Solitaire Nuclear Blast Records Yamaha
11,74,Derek Kelley,"Riverside, CA",KTM 250 SX-F,7,19,9,12,AEO Powersports KTM Racing
12,101,Dylan Walsh,"Southam, GB",Kawasaki KX250,13,11,11,11,Revo Seven Kawasaki UK
13,64,Mitchell Harrison,"Leesburg, FL",GASGAS MC 250F,12,13,12,10,AJE Motorsport MOTUL GAS GAS
14,66,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,14,15,14,9,AJE Motorsport MOTUL GAS GAS
15,97,Jerry Robin,"Hamel, MN",GASGAS MC 250F,17,14,13,8,"SKDA, FCC Motosports"
16,98,Dominique Thury,"Schneeberg, GER",Yamaha YZ250F,16,12,20,7,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
17,67,Logan Karnow,"Amherst, OH",Kawasaki KX250,18,16,16,6,"Motozone, CMS Roofing and Restoration, Namura Pistons"
18,161,Cole Thompson,"Brigden, ON",Yamaha YZ250F,11,20,21,5,"Parts Canada, Thor"
19,914,Geran Stapleton,"Clyde North, VIC",GASGAS MC 250F,19,17,17,4,Geran Stapleton
20,181,Wyatt Lyonsmith,"Boise, ID",Kawasaki KX250,21,18,19,3,"Edge Performance Sports, Fly Racing, X-Brand Goggles"
21,503,Mcclellan Hile,"Atascadero, CA",Honda CRF250R,20,21,18,2,"Team BWR, HD Supply, L-Tec, SSI Decals, Fly Racing"
22,43,Carson Mumford,"Simi Valley, CA",Suzuki RM-Z250,22,22,22,1,BarX Suzuki
