POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Ryan Villopoto,"Poulsbo, WA",Kawasaki KX 450F,1,X,0,1,25
2,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,2,-,0,2,22
3,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,4,-,0,3,20
4,41,Trey Canard,"Shawnee, OK",Honda CRF 450,6,-,0,4,18
5,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,5,-,0,5,16
6,29,Andrew Short,"Smithville, TX",Honda CRF 450,14,-,0,6,15
7,62,Matthew Goerke,Daytona ,KTM 450 SX-F,7,-,0,7,14
8,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,19,-,0,8,13
9,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 250,18,-,0,9,12
10,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,12,-,0,10,11
11,55,Jimmy Albertson,San Diego,Honda CRF 250,20,-,0,11,10
12,22,Chad Reed,"Dade City, FL",Honda CRF 450,11,-,0,12,9
13,11,Kyle Chisholm,"Clearwater, FL",Yamaha YZ450F,9,-,0,13,8
14,54,Les Smith,"York, SC",KTM 450 SX-F Factory Edit,15,-,0,14,7
15,39,Robert Kiniry,syracuse,Yamaha YZ450F,13,-,0,15,6
16,33,Joshua Grant,"Corona, CA",Yamaha YZ450F,10,-,0,16,5
17,920,Cedric Soubeyras,"Berre L'Etang, France",Honda CRF 450,17,-,0,17,4
18,47,Matthew Lemoine,"Baton Rouge, Louisiana",Kawasaki KX 450F,16,-,0,18,3
