POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,20 Laps,0:52.502,Yoshimura Suzuki Factory Racing
2,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,1.468,0:52.876,Monster Energy Kawasaki
3,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,5.903,0:52.795,Rockstar Energy Drink/Motosport.com/ONE Industries/Bel-Ray/Bell/FMF/Dragon/Rockwell Watches/Gaerne/Motion Pro/Leatt Brace
4,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,9.689,0:52.537,Team Honda Muscle Milk
5,41,Trey Canard,"Shawnee, OK",Honda CRF 450,11.724,0:52.820,Team Honda Muscle Milk
6,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,12.762,0:53.038,Red Bull/KTM/Motorex/Dunlop/Foremost/WP/Akrapovic
7,17,Eli Tomac,"Cortez, CO",Honda CRF 450,33.940,0:54.002,GEICO Honda/AMSOIL/Muscle Milk/Planet Fitness/Factory Connection
8,12,Jake Weimer,"Rupert, ID",Kawasaki KX 450F,36.538,0:54.235,Monster Energy Kawasaki
9,22,Chad Reed,"Dade City, FL",Honda CRF 450,38.037,0:54.342,Discount Tire Americas Tire/Shift/Fox/Mophie/Outride/Etnies/Honda/Factory Effex
10,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,39.135,0:54.688,Motoconcepts Racing/Smartop/JT Racing/FMF
11,62,Matthew Goerke,"Lake Helen, FL",KTM 450 SX-F,40.632,0:54.481,BTO Sports - KTM
12,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,45.974,0:54.706,RCH/Dodge/Suzuki
13,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,51.093,0:54.486,Toyota/JGR/Yamaha 
14,29,Andrew Short,"Smithville, TX",KTM 450 SX-F,19 Laps,0:54.196,BTO Sports/KTM/Palmetto Motorsports/Fly Racing/Bubba Burger/Witt's End Racing
15,69,Peter Larsen,"Menifee, CA",Honda CRF 450,10.362,0:55.542,Rocket Exhaust
16,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,13.528,0:55.538,RCH/Dodge/Suzuki
17,84,Chris Blose,"Phoenix, AZ",Yamaha YZ450F,20.663,0:55.741,N-Fab TiLUBE Yamaha
18,54,Les Smith,"York, SC",KTM 450 SX-F Factory Edit,39.311,0:55.571,BTO Sports/KTM
19,55,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,17 Laps,0:55.305,Fly Racing/HRT/MotoThump/Merge Racing/Beer Optics/FMF/Renegade Fuels/Vortex/Rekluse/Dunlop/MotoPro Graphics/Cycra/Mika/Shawnee Motosports/Dubya/Freegun/Reynard Raceway/S. Niday MX Schools
20,39,Robert Kiniry,"Holland Patent, NY",Yamaha YZ450F,DNF,DNF,-- none listed --
