POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Cooper Webb,"Newport, NC",Yamaha YZ250F,1,-,5,1,25
2,13,Jessy Nelson,"Paso Robles, CA",KTM 250 SX-F,6,-,10,2,22
3,16,Zach Osborne,"LAKE ELSINORE, CA",Husqvarna FC250,2,-,0,3,20
4,58,James Decotis,"Peabody, MA",Honda CRF 250,7,-,0,4,18
5,39,Jordon Smith,"Belmont, NC",Honda CRF 250,9,-,0,5,16
6,26,Alex Martin,"Millville, MN",Yamaha YZ250F,8,-,0,6,15
7,69,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,14,-,0,7,14
8,37,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,5,-,0,8,13
9,42,Mitchell Oldenburg,"Alvord, TX",KTM 250 SX-F,10,-,0,9,12
10,40,Kyle Peters,"Greensboro, NC",Honda CRF 250,15,-,0,10,11
11,72,Hayden Mellross,Australia,Yamaha YZ250F,16,-,0,11,10
12,68,Cole Martinez,"Rimrock, AZ",Yamaha YZ250F,20,-,0,12,9
13,289,Mitchell Harrison,Lansing MI,Yamaha YZ250F,19,-,0,13,8
14,43,Fredrik Noren,"Menifee, CA",Honda CRF 250,22,-,0,14,7
15,65,Zachary Bell,"Cairo, GA",Yamaha YZ250F,21,-,0,15,6
16,82,Trevor Reis,"Alpine, CA",Yamaha YZ250F,17,-,0,16,5
17,38,Christian Craig,"Corona, CA",Honda CRF 250,3,-,0,17,4
18,127,Cole Thompson,"Brigden, Canada",KTM 250 SX-F,11,-,0,18,3
19,45,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z250,12,-,0,19,2
20,941,Maxime Desprey,France,Kawasaki KX 250F,18,-,0,20,1
21,35,Chris Alldredge,"Powell Butte, OR",Kawasaki KX 250F,4,-,0,21,1
22,222,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,13,-,0,22,1
