POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,8,X,27,1,26
2,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,15,-,0,2,23
3,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2,-,0,3,21
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,4,-,0,4,19
5,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,5,-,0,5,18
6,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,12,-,0,6,17
7,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,16,-,0,7,16
8,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,11,-,0,8,15
9,22,Chad Reed,"Dade City, FL",Husqvarna FC450,7,-,0,9,14
10,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,-,0,10,13
11,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,9,-,0,11,12
12,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,18,-,0,12,11
13,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,13,-,0,13,10
14,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,14,-,0,14,9
15,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,1,-,0,15,8
16,32,Christian Craig,"Orange, CA",Honda CRF 450,3,-,0,16,7
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,17,-,0,17,6
18,86,Dylan Merriam,"Corona, CA",Yamaha YZ450F,20,-,0,18,5
19,570,Cody Vanbuskirk,"Harvard, IL",KTM 450 SX-F,21,-,0,19,4
20,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,19,-,0,20,3
21,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,22,-,0,21,2
22,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,10,-,0,22,1
