POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,1,-,6,1,26
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,3,-,5,2,23
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,2,X,0,3,21
4,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,4,-,0,4,19
5,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,10,-,0,5,18
6,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,6,-,0,6,17
7,22,Chad Reed,"Dade City, FL",Husqvarna FC450,5,-,0,7,16
8,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,7,-,0,8,15
9,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,13,-,0,9,14
10,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,9,-,0,10,13
11,32,Christian Craig,"Orange, CA",Honda CRF 450,20,-,0,11,12
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,15,-,0,12,11
13,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,14,-,0,13,10
14,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,19,-,0,14,9
15,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,17,-,0,15,8
16,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,11,-,0,16,7
17,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,8,-,0,17,6
18,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,18,-,0,18,5
19,476,Collin Jurin,"Monroe, WA",Kawasaki KX 450F,22,-,0,19,4
20,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,16,-,0,20,3
21,751,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,12,-,0,21,2
