POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,1,4,3,26,MONSTER ENERGY KAWASAKI
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,2,6,1,23,Rockstar Energy Husqvarna Factory Racing
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,7,1,2,21,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
4,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,4,2,5,19,Smartop/Bullfrog Spas/Honda
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,3,7,4,18,Monster Energy Factory Yamaha Racing
6,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,5,3,11,17,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
7,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,8,8,6,16,MONSTER ENERGY KAWASAKI
8,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,5,12,15,Rocky Mountain ATV/MC - KTM - WPS
9,32,Christian Craig,"Orange, CA",Honda CRF 450,14,10,7,14,Team Honda HRC
10,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,9,9,13,13,Rockstar Energy Husqvarna Factory Racing
11,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,10,14,8,12,Rocky Mountain ATV/MC - KTM - WPS
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,11,11,10,11,Smartop Bullfrog Spas
13,22,Chad Reed,"Dade City, FL",Husqvarna FC450,12,13,9,10,CR22
14,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,15,12,15,9,"Autotrader/Yoshimura/Suzuki Factory Racing/Wiernerschnitzel,Seven, Textron,KMC,BTO,Scott,Interstate Batteries,Shoei,Ecstar,Toyota,JGR"
15,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,13,15,16,8,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
16,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,16,16,14,7,-- none listed --
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,18,17,17,6,"PJ/Fly Racing,LBeardsleyCPA,RTS inc,Eks Brand,Racetech,Bills Pipes,Evs sports, Rockwell watches,Hammerhead designs,Gaerne,Renthal, Stratus, Dvs shoes,"
18,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,17,18,18,5,H.E.P. Motorsports/FXR/Suzuki/AMP Tires/Nut Up Industries
19,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,19,19,20,4,Team Tedder/Monster Energy/KTM/Lucas Oil
20,282,Theodore Pauli,"Edwardsville, IL",Kawasaki KX 450F,21,20,19,3,TXS / Outlaw Motorsports. St Louis Tattoo. Top Secret Designs. Motorcycle closeouts. BSM. Skillz Racing. PRL. JH2. Route15 Cycles. Ryno Power. Pirelli MX. JM racing. Arai. Novik Gloves. Sidi boots. AMSOIL. Ruraluba. Yoshimura. Sic Wicks Tamer holesh
21,447,Deven Raper,"Mesa, AZ",Kawasaki KX 450F,20,21,21,2,"RJC Racing, Kellys Kawasaki"
22,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,22,22,22,1,Monster Energy Factory Yamaha Racing
