POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,3,-,22,1,0
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,4,-,1,2,
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,1,-,0,3,0
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,-,0,4,
5,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,14,-,0,5,
6,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,8,-,0,6,
7,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,5,-,0,7,0
8,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,7,-,0,8,0
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,2,-,0,9,
10,22,Chad Reed,"Dade City, FL",Husqvarna FC450,10,-,0,10,
11,32,Christian Craig,"Orange, CA",Honda CRF 450,11,X,0,11,0
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,12,-,0,12,
13,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,9,-,0,13,0
14,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,18,-,0,14,
15,201,Cedric Soubeyras,"Venasque, France",Suzuki RM-Z450,13,-,0,15,0
16,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,16,-,0,16,
17,73,Brandon Scharer,"Gardena, CA",Yamaha YZ450F,15,-,0,17,0
18,91,Alex Ray,"Milan, TN",Yamaha YZ450F,20,-,0,18,0
19,447,Deven Raper,"Mesa, AZ",Kawasaki KX 450F,17,-,0,19,0
20,80,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,21,-,0,20,
21,181,Dustin Pipes,"Fresno, CA",Suzuki RM-Z450,22,-,0,21,0
22,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,19,-,0,22,
