POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,5,1,2,26,MONSTER ENERGY KAWASAKI
2,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,1,2,7,23,Team Honda HRC
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,7,3,1,21,Rockstar Energy Husqvarna Factory Racing
4,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2,6,3,19,Smartop/MCR/Honda
5,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,4,9,5,18,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
6,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,6,4,8,17,MONSTER ENERGY KAWASAKI
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,3,10,6,16,Rocky Mountain ATV/MC - KTM - WPS
8,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,8,5,9,15,Monster Energy/Knich/Factory Yamaha team
9,94,Ken Roczen,"Clermont, FL",Honda CRF 450,11,12,4,14,Team Honda HRC
10,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,10,7,11,13,Monster Enery/Knich/Factory Yamaha Team
11,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,16,8,14,12,"JGR Autotrader/Yoshimura/Suzuki Factory Racing, KMC, Wienerschnitzel,Textron,Scott, Ecstar,Seven, Shoei , Interstate Batteries"
12,6,Jeremy Martin,"Millville, MN",Honda CRF 450,15,15,10,11,GEICO Honda/AMSOIL/Factory Connection
13,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,9,11,21,10,"KTM, RED BULL, MOTOREX, WP, AKRAPOVIC, DUNLOP"
14,22,Chad Reed,"Dade City, FL",Husqvarna FC450,12,17,16,9,CR22
15,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,13,16,17,8, 
16,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,22,13,12,7,"KTM,RED BULL,MOTOREX,AKRAPOVIC,WP,DUNLOP"
17,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,18,19,13,6,Smartop Motoconcepts
18,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,14,14,22,5,Rockstar Energy Husqvarna Factory Racing
19,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,17,20,15,4,H.E.P. Motorsports/FXR/Suzuki
20,91,Alex Ray,"Milan, TN",Yamaha YZ450F,19,18,18,3,CycleTrader Rock River YAMAHA
21,90,Dakota Tedder,"Surfside, CA",KTM 450 SX-F Factory Edit,20,21,19,2,Team Tedder/Monster Energy/KTM/Lucas Oil
22,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,21,22,20,1,"TPJ/Fly Racing,LBeardsleyCPA,RTS Inc,UofMX, Eks Brand,Racetech,Bills Pipes,EVS Sports, Rockwell Watches,Hammerhead Designs,Gaerne, Lords of Gastown, Renthal, Stratus, Dvs Shoes"
