POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,5,X,23,1,26
2,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,7,-,0,2,23
3,94,Ken Roczen,"Clermont, FL",Honda CRF 450,3,-,0,3,21
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,2,-,0,4,19
5,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,11,-,0,5,18
6,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,6,-,0,6,17
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,1,-,0,7,16
8,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,18,-,0,8,15
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,16,-,0,9,14
10,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,9,-,0,10,13
11,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,10,-,0,11,12
12,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,12,-,0,12,11
13,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,4,-,0,13,10
14,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,14,-,0,14,9
15,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,8,-,0,15,8
16,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,13,-,0,16,7
17,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,17,-,0,17,6
18,12,Jacob Weimer,"Huntington Beach, CA",Honda CRF 450,22,-,0,18,5
19,22,Chad Reed,"Dade City, FL",Husqvarna FC450,20,-,0,19,4
20,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,19,-,0,20,3
21,58,Matthew Bisceglia,"Weatherford, TX",Suzuki RM-Z450,21,-,0,21,2
22,91,Alex Ray,"Milan, TN",Yamaha YZ450F,15,-,0,22,1
