POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,1,X,25,1,26
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,14,-,0,2,23
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,9,-,0,3,21
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,3,-,0,4,19
5,14,Cole Seely,"Newbury Park, CA",Honda CRF 450,6,-,0,5,18
6,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,16,-,0,6,17
7,34,Weston Peick,"Menifee, CA",Suzuki RM-Z450,2,-,0,7,16
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,5,-,0,8,15
9,20,Broc Tickle,"Holly, MI",KTM 450 SX-F Factory Edit,11,-,0,9,14
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,7,-,0,10,13
11,27,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,10,-,0,11,12
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,8,-,0,12,11
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,12,-,0,13,10
14,60,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F Factory Edit,13,-,0,14,9
15,22,Chad Reed,"Dade City, FL",Husqvarna FC450,15,-,0,15,8
16,69,Tyler Bowers,"Lake Elsinore, Ca",Kawasaki KX 450F,4,-,0,16,7
17,907,Ben Lamay,"Wasilla, AK",Honda CRF 450,19,-,0,17,6
18,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,17,-,0,18,5
19,39,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,22,-,0,19,4
20,981,Austin Politelli,"Murrieta, CA",Honda CRF 450,18,-,0,20,3
21,80,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,20,-,0,21,2
22,48,Henry Miller,"Rochester, MN",Suzuki RM-Z450,21,-,0,22,1
