POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,1,-,15,1,26
2,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,4,-,0,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,10,-,0,3,21
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,2,X,3,4,19
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,6,-,0,5,18
6,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,9,-,0,6,17
7,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,16,-,0,7,16
8,94,Ken Roczen,"Clermont, FL",Honda CRF 450,3,-,0,8,15
9,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,12,-,0,9,14
10,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,7,-,0,10,13
11,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,5,-,0,11,12
12,12,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,15,-,0,12,11
13,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,8,-,0,13,10
14,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,11,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,20,-,0,15,8
16,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,17,-,0,16,7
17,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,21,-,0,17,6
18,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,14,-,0,18,5
19,60,Justin Starling,"Deland, FL",Husqvarna FC450,18,-,0,19,4
20,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,19,-,0,20,3
21,184,Scott Champion,"Orange, CA",Yamaha YZ450F,22,-,0,21,2
22,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,13,-,0,22,1
