POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,1,X,22,1,26
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,4,-,0,2,23
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,3,-,0,3,21
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,9,-,0,4,19
5,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,2,-,0,5,18
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,5,-,0,6,17
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,-,0,7,16
8,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,11,-,0,8,15
9,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,13,-,0,9,14
10,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,7,-,0,10,13
11,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,8,-,0,11,12
12,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,12,-,0,12,11
13,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,10,-,0,13,10
14,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,14,-,0,14,9
15,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,19,-,0,15,8
16,49,Henry Miller,"Rochester, MN",KTM 450 SX-F,16,-,0,16,7
17,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,17,-,0,17,6
18,97,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,18,-,0,18,5
19,224,Charles Lefrancois,"Folligny, France",Suzuki RM-Z450,22,-,0,19,4
20,211,Tevin Tapia,"Lake Elsinore, CA",Yamaha YZ450F,21,-,0,20,3
21,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,15,-,0,21,2
22,184,Scott Champion,"Orange, CA",Yamaha YZ450F,20,-,0,22,1
