POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,1,X,12,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,5,-,0,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,16,-,0,3,21
4,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,6,-,14,4,19
5,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2,-,0,5,18
6,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,3,-,0,6,17
7,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,11,-,0,7,16
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,9,-,0,8,15
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,4,-,0,9,14
10,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,7,-,0,10,13
11,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,12,-,0,11,12
12,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,13,-,0,12,11
13,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,8,-,0,13,10
14,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,14,-,0,14,9
15,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,15,-,0,15,8
16,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,18,-,0,16,7
17,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,17,-,0,17,6
18,393,Daniel Herrlein,"Bethesda, OH",Kawasaki KX 450,22,-,0,18,5
19,118,Cheyenne Harmon,"Dallas, TX",Yamaha YZ450F,19,-,0,19,4
20,383,Casey Brennan,"Albuquerque, NM",KTM 450 SX-F,21,-,0,20,3
21,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,10,-,0,21,2
22,330,Aj Catanzaro,"Reston, VA",Kawasaki KX 450,20,-,0,22,1
