POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,1,-,23,1,26
2,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,6,-,0,2,23
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,10,-,0,3,21
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,3,-,0,4,19
5,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,4,X,1,5,18
6,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,5,-,0,6,17
7,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,2,-,0,7,16
8,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,19,-,0,8,15
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,9,-,0,9,14
10,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,14,-,0,10,13
11,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,12,-,0,11,12
12,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,7,-,0,12,11
13,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,15,-,0,13,10
14,64,Vince Friese,"Menifee, CA",Honda CRF450R,13,-,0,14,9
15,19,Justin Bogle,"Edmond, OK",KTM 450SX-F Factory Editi,18,-,0,15,8
16,44,Kyle Cunningham,"WIllow park, TX",Suzuki RMZ450,20,-,0,16,7
17,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,11,-,0,17,6
18,49,Chris Blose,"Phoenix, AZ",Honda CRF450R,17,-,0,18,5
19,61,Alex Ray,"Milan, TN",Kawasaki KX450,22,-,0,19,4
20,53,James Decotis,"Huntersville, NC",Suzuki RMZ450,16,-,0,20,3
21,22,Chad Reed,"Cornelius, NC",Honda CRF450R,21,-,0,21,2
