POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,8,-,23,1,26
2,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,3,-,0,2,23
3,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,9,-,0,3,21
4,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,12,-,0,4,19
5,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,10,-,0,5,18
6,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,5,-,0,6,17
7,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,7,-,0,7,16
8,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,11,-,0,8,11
9,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,2,-,0,9,14
10,16,Zach Osborne,"Clermont, FL",Husqvarna FC 450 RE,4,-,0,10,13
11,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,14,-,0,11,12
12,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,6,-,0,12,11
13,20,Broc Tickle,"Holly, MI",Honda CRF450R,21,-,0,13,10
14,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,17,-,0,14,9
15,40,Vince Friese,"Menifee, CA",Honda CRF450R WE,19,-,0,15,8
16,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,16,-,0,16,7
17,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,20,-,0,17,6
18,83,Alex Ray,"Milan, TN",Kawasaki KX450,22,-,0,18,5
19,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,18,-,0,19,4
20,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,15,-,0,20,3
21,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,13,-,0,21,2
22,23,Chase Sexton,"Clermont, FL",Honda CRF450R,1,X,6,22,1
