POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,1,-,15,1,26
2,27,Malcolm Stewart,"Haines City, FL",Husqvarna FC 450 RE,2,-,0,2,23
3,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,8,-,3,3,21
4,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,5,-,0,4,19
5,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,-,0,5,18
6,62,Vince Friese,"Menifee, CA",Honda CRF450R,9,-,0,6,17
7,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,16,-,0,7,16
8,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,10,-,2,8,15
9,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,19,-,0,9,14
10,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,18,-,0,10,13
11,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,20,-,0,11,12
12,95,Justin Starling,"Deland, FL",GASGAS MC 450F,13,-,0,12,11
13,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,14,-,0,13,10
14,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,11,-,0,14,9
15,67,Logan Karnow,"Amherst, OH",Kawasaki KX450,21,-,0,15,8
16,57,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,17,-,0,16,7
17,87,Alex Ray,"Milan, TN",Honda CRF450R,15,-,0,17,6
18,55,Justin Rodbell,"Prince Frederick, MD",Kawasaki KX450,22,-,0,18,5
19,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,12,-,0,19,4
20,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,6,-,0,20,3
21,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,4,-,7,21,2
22,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,3,-,0,22,1
