POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"Corona, CA",KTM 250 SX-F,15 Laps,0:52.509,RED BULL/KTM
2,50,Kyle Peters,"Greensboro, NC",Honda CRF 250,2.510,0:53.886,AG Motorsports/Peters auto mall
3,19,William Hahn,"Decatur, TX",Honda CRF 250,5.960,0:53.366,GEICO Honda/AMSOIL/Muscle Milk/Alias/Planet Fitness/Factory Connection
4,73,A J Catanzaro,"Portland, CT",Kawasaki KX 250F,9.858,0:53.626,Pilgrim Powersports/Pickett Weaponry/TLR/Tirestickers.com/Factory Connection/100%/Team Gus 
5,317,Justin Hill,"Yoncalla, OR",Kawasaki KX 250F,15.585,0:54.187,Monster Energy/ProCircuit/Kawasaki
6,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 250,20.960,0:54.753,Slaton/Tuf Racing/Oneal/Shoei/Dunlop/Alpinestars
7,248,Mitchell Oldenburg,"Alvord, TX",Honda CRF 250,25.517,0:54.813,Core MX Performance/Oak Hill Raceway/Karl Klement Ford/Lewis Long Racing/One Industries/Shoei
8,67,Gavin Faith,"Fort Dodge, IA",Honda CRF 250,26.901,0:54.016,Motoconcepts/Smartop/JT Racing/FMF/Silkolene/Ohlins
9,13,Blake Wharton,"Pilot Point, TX",Suzuki RM-Z250,26.901,0:53.201,Rockstar Energy Drink/Motosport.com/ONE Industries/Bel-Ray/Bell/FMF
10,69,Peter Larsen,"Menifee, CA",Yamaha YZ250,34.147,0:55.015,Eleven 10 Mods/Yamaha/Renegade Fuels
11,552,Steven Clarke,"Cairo, GA",KTM 250 SX-F,39.535,0:56.077,Shea Racing/SMS Racing/Passportworld.com/National Switch Gear/Fly/Decal Works/DRD/Renegade Fuel/DT1/Mika Me/Tals/PowerBar/Matrix Concepts/Silkolene/Outlaw Racing/ODI Guts Seats/Engine Ice/Dunlop/Tapped Out Racing/Moto PR 
12,613,James Decotis,"Peabody, MA",Honda CRF 250,41.962,0:55.223,High octane Harley Davidson/Dedicated athletics/Fox/Spectro/Pro circuit/100% goggles/Ryno power/Dc shoes/Factory connection/Ever rev/Crf stuff/Sts motorsports/Hinson/Dunlop/Renthal/Dcs financial group/TLR performance/Renegade racing fuels
13,167,Zachary Bell,"Cairo, GA",Honda CRF 250,44.924,0:54.589,GEICO Honda/AMSOIL/Muscle Milk/Alias/Planet Fitness/Factory Connection
14,71,Zackery Freeberg,"Riverview, FL",Honda CRF 250,49.956,0:55.199,maykers/witts end racing/bpm/scott/bell/fly/alpinestar/yosh/hinson/dunlop/pit posse/outlaw/procircuit/renagade
15,412,Levi Kilbarger,"Logan, OH",Honda CRF 250,51.688,0:55.821,"kilbarger drilling, oneal, scott, renegade, sunstar, rocket exhaust, cycra,"
16,48,Cole Thompson,"Brigden, Canada",Honda CRF 250,56.307,0:54.754,AXTour/MXschools.com/Jet Werx/26 Suspension/Thor Parts Unlimited/Oakley/Alpinestars/Pro Circuit/Works Connection/Silkolene/Throttle Jockey/EVS Sports/Lambton Diesel Specialist/BPM Motors/GPF/Dunlop/Moto Tassinari/Hinson
17,393,Daniel Herrlein,"Bethesda, OH",Honda CRF 250,58.594,0:55.598,A&Y Racing/Novik Gloves/EVS/FMF/Factory Connection/100% Goggles/139 Designs/Monster Energy/Hinson/Wiseco/Oneal/Xceldyne/Mom & Dad
18,194,Jackson Richardson,"Cairns, Australia",Honda CRF 250,14 Laps,0:54.656,XPR Racing/Mongrel Custom Moto/Lusty Industries/Deft Gloves/Vonziper/Renegade
19,87,Lance Vincent,"Youngsville, LA",KTM 250 SX-F,7 Laps,0:54.865,Munn Racing KTM/EBR Perf/Anklesavers/KTMtalk.com/DEP Pipes/AGV/Dainese/Motorex/ENJOY/Engine Ice/Rekluse/Jett Boots/ODI/Dunlop/EBC/Wiseco/ODES UTV/DT1 Filters/Motoconcepts/Aquahydrate/RK/Excell/MotoStar/Motocross University/Realmotocross.com/Smith
20,77,Jeremy Martin,"Millville, MN",Yamaha YZ250F,2.766,0:53.770,MyPlash/Metal Mulisha/Yamaha/Star Racing
