POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,1,X,14,1,26
2,6,Jeremy Martin,"Millville, MN",Honda CRF 250,8,-,0,2,23
3,35,Austin Forkner,"Richards, MO",Kawasaki KX 250F,5,-,0,3,21
4,1,Zach Osborne,"Abingdon, VA",Husqvarna FC250,2,-,0,4,19
5,29,Martin Davalos,"Clermont, FL",Kawasaki KX 250F,3,-,0,5,18
6,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,9,-,0,6,17
7,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,11,-,0,7,16
8,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,7,-,0,8,15
9,222,Ramyller Alves,"Coconut Creek, FL",Yamaha YZ250F,10,-,0,9,14
10,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,6,-,0,10,13
11,85,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,14,-,0,11,12
12,570,Cody Vanbuskirk,"Harvard, IL",KTM 250 SX-F,18,-,0,12,11
13,61,Heath Harrison,"Silverhill, AL",Honda CRF 250,17,-,0,13,10
14,261,Wilson Fleming,"Cairo, GA",Yamaha YZ250F,21,-,0,14,9
15,471,Logan Karnow,"Vermilion, OH",Kawasaki KX 250F,20,-,0,15,8
16,49,Nick Gaines,"Ringgold, GA",Yamaha YZ250F,12,-,0,16,7
17,401,Samuel Redman,"Clarksville, TN",Kawasaki KX 250F,22,-,0,17,6
18,57,John Short,"Pilot Point, TX",Yamaha YZ250F,15,-,0,18,5
19,986,Lane Shaw,"Alvin, TX",Honda CRF 250,13,-,0,19,4
20,725,Richard Jackson,"Holdenville, OK",KTM 250 SX-F,19,-,0,20,3
