POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,6,Jeremy Martin,"Millville, MN",Honda CRF 250,3,3,1,26,GEICO Honda/AMSOIL/Factory Connection
2,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,2,2,3,21,Troy Lee Designs/ Red Bull/ KTM
3,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,5,4,5,19,Troy Lee Designs/ Red Bull/ KTM
4,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,6,11,6,18,Rocky Mountain ATV/MC - KTM - WPS
5,174,Joshua Osby,"Valparaiso, IN",KTM 250 SX-F,9,6,9,17,ClubMx/RSR/RedemptionRacing
6,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,16,5,4,16,CycleTrader Rock River YAMAHA
7,57,John Short,"Pilot Point, TX",Yamaha YZ250F,11,8,8,15,Tpj racing/Maxim Yamaha/Merge racing/Mcwhorter brothers Mx/Bestbeachstay.net/Five star roofing of Texas/Gainesville sheetmetal/Lapking/A Ary co/Dsc construction
8,206,Thomas Ramette,"Guilherand, France - Metropolitan",Yamaha YZ250F,8,15,7,14,-- none listed --
9,35,Austin Forkner,"Richards, MO",Kawasaki KX 250F,1,10,19,13,MONSTER ENERGY PRO CIRCUIT KAWASAKI
10,64,Michael Mosiman,"Sebastopol, CA",Husqvarna FC250,7,19,10,12,Rockstar Energy Husqvarna Factory Racing
11,373,Jacob Williamson,"Swartz Creek, MI",Honda CRF 250,17,7,12,11,Rockford Fosgate TiLube Honda Storm Lake Honda_4 Makson podium ink Yoshimura Hinson Renthal JRC Rk excel Cycra Arc Dunlop Moto stuff Pro pegs Seat concepts RaceTech Titanium Twin air Hammer head Motion pro Moto tape Ssi Factory connection ICW engine ice r
12,570,Cody Vanbuskirk,"Harvard, IL",KTM 250 SX-F,13,12,14,10,Woodstock KTM/TZR
13,222,Ramyller Alves,"Coconut Creek, FL",Yamaha YZ250F,21,9,11,9,D Racing/EBR Performance/Altus Motorsports/Yamaha
14,641,Keith Tucker,"Fuquay Varina, NC",Yamaha YZ250F,12,18,16,8, 
15,96,Zack Williams,"Elko, MN",KTM 250 SX-F,20,14,13,7,Club Mx/RSR/redemption racing
16,44,Lorenzo Locurcio,"CLERMONT, FL",Honda CRF 250,19,13,15,6,"TILUBE, LEATT, HONDA, ROCKFORD FOSGATE"
17,85,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,14,17,17,5,3D Racing/Yamaha/EBR Performance/Altus Motorsports
18,214,Vann Martin,"Cypress, TX",Honda CRF 250,15,16,18,4,Ti Lube Honda/Allsouth Sprinkler Company/Team Allsouth/Fox/Yoshimura/Scott
19,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,10,21,20,3,Traders Racing-Tic Tabs / Ohlins / Atv's & More / Shot Racewear
20,261,Wilson Fleming,"Cairo, GA",Yamaha YZ250F,18,20,21,2, 
21,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,22,22,22,1,Autotrader/JGR/Yoshimura/Suzuki Factory Racing 
22,1,Zach Osborne,"Abingdon, VA",Husqvarna FC250,4,1,2,,Rockstar Energy Husqvarna Factory Racing
