POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Zach Osborne,"Abingdon, VA",Husqvarna FC250,2,X,17,1,0
2,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,5,-,0,2,
3,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,19,-,0,3,
4,6,Jeremy Martin,"Millville, MN",Honda CRF 250,1,-,0,4,
5,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,6,-,0,5,0
6,174,Joshua Osby,"Valparaiso, IN",KTM 250 SX-F,11,-,0,6,
7,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,7,-,0,7,
8,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,3,-,0,8,
9,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,10,-,0,9,0
10,206,Thomas Ramette,"Guilherand, France - Metropolitan",Yamaha YZ250F,4,-,0,10,0
11,373,Jacob Williamson,"Swartz Creek, MI",Honda CRF 250,9,-,0,11,
12,44,Lorenzo Locurcio,"CLERMONT, FL",Honda CRF 250,13,-,0,12,
13,57,John Short,"Pilot Point, TX",Yamaha YZ250F,17,-,0,13,
14,49,Nick Gaines,"Ringgold, GA",Yamaha YZ250F,12,-,0,14,0
15,85,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,16,-,0,15,0
16,261,Wilson Fleming,"Cairo, GA",Yamaha YZ250F,20,-,0,16,
17,214,Vann Martin,"Cypress, TX",Honda CRF 250,15,-,0,17,
18,570,Cody Vanbuskirk,"Harvard, IL",KTM 250 SX-F,21,-,0,18,0
19,641,Keith Tucker,"Fuquay Varina, NC",Yamaha YZ250F,14,-,0,19,0
20,172,Tanner Basso,"Alpine, CA",Yamaha YZ250F,22,-,0,20,0
21,64,Michael Mosiman,"Sebastopol, CA",Husqvarna FC250,8,-,0,21,0
22,222,Ramyller Alves,"Coconut Creek, FL",Yamaha YZ250F,18,-,0,22,0
