POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,2,-,11,1,26
2,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,1,-,5,2,23
3,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,5,-,0,3,21
4,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,19,X,1,4,19
5,40,Chase Sexton,"Clermont, FL",Honda CRF 250,6,-,0,5,18
6,53,Bradley Taft,"Nixa, MO",Yamaha YZ250F,7,-,0,6,17
7,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,8,-,0,7,16
8,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,12,-,0,8,15
9,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,9,-,0,9,14
10,32,Christian Craig,"Orange, CA",Honda CRF 250,3,-,0,10,13
11,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,10,-,0,11,12
12,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,14,-,0,12,11
13,68,Justin Starling,"Deland, FL",Husqvarna FC250,11,-,0,13,10
14,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,17,-,0,14,9
15,992,Jean Ramos,"Corona, CA",Yamaha YZ250F,16,-,0,15,8
16,902,Killian Auberson,"Corona, CA",KTM 250 SX-F,20,-,0,16,7
17,52,Mitchell Oldenburg,"Alvord, TX",Yamaha YZ250F,4,-,0,17,6
18,137,Martin Castelo,"Murrieta, CA",Yamaha YZ250F,15,-,0,18,5
19,388,Brandan Leith,"Eagle Mountain, UT",Kawasaki KX 250F,18,-,0,19,4
20,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 250,22,-,0,20,3
21,217,Ryan Breece,"Athol, ID",Kawasaki KX 250F,21,-,0,21,2
22,67,Justin Hoeft,"Castaic, CA",Yamaha YZ250F,13,-,0,22,1
