POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,35,Austin Forkner,"Richards, MO",Kawasaki KX 250F,6,-,19,1,26
2,24,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,5,-,0,2,23
3,1,Zach Osborne,"Abingdon, VA",Husqvarna FC250,2,-,0,3,21
4,36,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,3,X,1,4,19
5,29,Martin Davalos,"Clermont, FL",Kawasaki KX 250F,1,-,0,5,18
6,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,7,-,0,6,17
7,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,13,-,0,7,16
8,66,Cameron Mcadoo,"Sioux City, IA",Honda CRF 250,9,-,0,8,15
9,31,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,4,-,0,9,14
10,47,James Decotis,"Peabody, MA",Suzuki RM-Z250,8,-,0,10,13
11,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,11,-,0,11,12
12,6,Jeremy Martin,"Millville, MN",Honda CRF 250,10,-,0,12,11
13,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,18,-,0,13,10
14,49,Nick Gaines,"Ringgold, GA",Yamaha YZ250F,17,-,0,14,9
15,57,John Short,"Pilot Point, TX",Yamaha YZ250F,22,-,0,15,8
16,111,Chris Blose,"Phoenix, AZ",Honda CRF 250,19,-,0,16,7
17,169,Challen Tennant,"Willis, TX",Yamaha YZ250F,21,-,0,17,6
18,373,Jacob Williamson,"Swartz Creek, MI",Honda CRF 250,20,-,0,18,5
19,174,Joshua Osby,"Valparaiso, IN",KTM 250 SX-F,14,-,0,19,4
20,44,Lorenzo Locurcio,"CLERMONT, FL",Honda CRF 250,16,-,0,20,3
21,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,12,-,0,21,2
