POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,4,-,19,1,19
2,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,1,-,0,2,23
3,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,3,-,2,3,21
4,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,7,-,0,4,19
5,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,6,-,0,5,18
6,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,12,-,0,6,17
7,35,Mitchell Harrison,"Murrieta, CA",Yamaha YZ250F,11,-,0,7,16
8,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,5,-,0,8,15
9,67,Enzo Lopes,"Wildomar, CA",Suzuki RM-Z250,10,-,0,9,14
10,60,Justin Starling,"Deland, FL",Husqvarna FC250,13,-,0,10,13
11,141,Robbie Wageman,"Newhall, CA",Honda CRF 250,19,-,0,11,12
12,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,9,-,0,12,11
13,122,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,22,-,0,13,10
14,471,Logan Karnow,"Vermilion, OH",Kawasaki KX 250,14,-,0,14,9
15,72,Martin Castelo,"Murrieta, CA",Husqvarna FC250,16,-,0,15,8
16,68,Brandan Leith,"Eagle Mountain, UT",Husqvarna FC250,18,-,0,16,7
17,321,Bradley Lionnet,"Menifee, CA",Yamaha YZ250F,17,-,0,17,6
18,83,Killian Auberson,"Winchester, CA",KTM 250 SX-F,21,-,0,18,5
19,156,Jacob Hayes,"Greensboro, NC",Yamaha YZ250F,8,-,0,19,4
20,194,Jerry Robin,"Corcoran, MN",KTM 250 SX-F,20,-,0,20,3
21,54,Dylan Merriam,"Corona, CA",Husqvarna FC250,15,-,0,21,2
