POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,8,-,16,1,26
2,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,2,X,0,2,23
3,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,12,-,0,3,21
4,23,Chase Sexton,"Clermont, FL",Honda CRF 250,1,-,0,4,19
5,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,17,-,0,5,18
6,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,10,-,0,6,17
7,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,4,-,0,7,16
8,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,11,-,0,8,15
9,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,3,-,0,9,14
10,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,14,-,0,10,13
11,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,9,-,0,11,12
12,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,5,-,0,12,11
13,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,15,-,0,13,10
14,63,John Short,"Pilot Point, TX",Honda CRF 250,13,-,0,14,9
15,56,Lorenzo Locurcio,"Groveland, FL",Kawasaki KX 250,19,-,0,15,8
16,60,Justin Starling,"Deland, FL",Husqvarna FC250,21,-,0,16,7
17,96,Chase Marquier,"Newcastle, OK",Husqvarna FC250,22,-,0,17,6
18,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,18,-,0,18,5
19,123,Mitchell Falk,"Costa Mesa, CA",KTM 250 SX-F,20,-,0,19,4
20,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,6,-,0,20,3
21,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,7,-,0,21,2
22,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,16,-,0,22,1
