POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,5,-,17,1,26
2,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,1,-,0,2,23
3,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,3,X,0,3,21
4,12,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,12,-,0,4,19
5,156,Jacob Hayes,"Greensboro, NC",Yamaha YZ250F,6,-,0,5,18
6,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,4,-,0,6,17
7,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,8,-,0,7,16
8,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,13,-,0,8,15
9,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,9,-,0,9,14
10,40,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,14,-,0,10,13
11,160,Jess Pettis,"Prince George, Canada",KTM 250 SX-F,10,-,0,11,12
12,194,Jerry Robin,"Corcoran, MN",KTM 250 SX-F,15,-,0,12,11
13,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,7,-,0,13,10
14,72,Martin Castelo,Ecuador,Suzuki RM-Z250,16,-,0,14,9
15,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,2,-,0,15,8
16,35,Mitchell Harrison,"Murrieta, CA",Yamaha YZ250F,11,-,0,16,7
17,910,Carson Brown,"Ravensdale, WA",Husqvarna FC250,18,-,0,17,6
18,184,Scott Champion,"Orange, CA",Yamaha YZ250F,21,-,0,18,5
19,773,Thomas Do,"SAINT ROMAIN EN VIENNOIS, France",Suzuki RM-Z250,20,-,0,19,4
20,122,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,22,-,0,20,3
21,471,Logan Karnow,"Vermilion, OH",Kawasaki KX 250,19,-,0,21,2
22,188,Gage Schehr,"San Clemente, CA",Husqvarna FC250,17,-,0,22,1
