POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,52,Austin Forkner,"Richards, MO",Kawasaki KX250,8,-,8,1,26
2,1W,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,13,X,14,2,23
3,83,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,12,-,0,3,21
4,29,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,3,-,0,4,19
5,28,Michael Mosiman,"Menifee, CA",Husqvarna FC250,11,-,0,5,18
6,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,2,-,0,6,17
7,35,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,6,-,0,7,16
8,30,Brandon Hartranft,"Brick, NJ",KTM 250SX-F,7,-,0,8,15
9,57,Derek Drake,"San Luis Obispo, CA",KTM 250SX-F,5,-,0,9,14
10,62,Christian Craig,"Orange, CA",Honda CRF250R,1,-,0,10,13
11,101,Luke Clout,"Hemet, CA",Honda CRF250R,10,-,0,11,12
12,40,Mitchell Oldenburg,"Godley, TX",Honda CRF250R,9,-,0,12,11
13,60,Mitchell Falk,"Costa Mesa, CA",Honda CRF250R,15,-,0,13,10
14,55,Martin Castelo,"Murrieta, CA",Husqvarna FC250,16,-,0,14,9
15,90,Killian Auberson,"Winchester, CA",Husqvarna FC250,18,-,0,15,8
16,72,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,14,-,0,16,7
17,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,22,-,0,17,6
18,97,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,21,-,0,18,5
19,227,Derek Kelley,"Riverside, CA",Husqvarna FC250,17,-,0,19,4
20,914,Geran Stapleton,"Cape Schanck, VIC",Honda CRF250R,19,-,0,20,3
21,26,Alex Martin,"Clermont, FL",Suzuki RMZ250,4,-,0,21,2
22,284,Lorenzo Camporese,"Campodarsego, ITA",Kawasaki KX250,20,-,0,22,1
